mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	0	4/4	1/4	3/4	5	firstMeasure				1	2
2	1	0	4/4	1	0	5						3
3	2	0	4/4	1	0	5						4
4	3	0	4/4	1	0	5						5
5	4	0	4/4	1	0	5						6
6	5	0	4/4	1	0	5						7
7	6	0	4/4	1	0	5						8
8	7	0	4/4	1	0	5						9
9	8	0	4/4	1	0	5						10
10	9	0	4/4	1	0	5						11
11	10	0	4/4	1	0	5						12
12	11	0	4/4	1	0	5						13
13	12	0	4/4	1	0	5						14
14	13	0	4/4	1	0	5						15
15	14	0	4/4	1	0	5						16
16	15	0	4/4	1	0	5						17
17	16	0	4/4	1	0	5						18
18	17	0	4/4	1	0	5						19
19	18	0	4/4	1	0	5						20
20	19	0	4/4	1	0	5						21
21	20	0	4/4	1	0	5						22
22	21	0	4/4	1	0	5						23
23	22	0	4/4	1	0	5						24
24	23	0	4/4	1	0	5						25
25	24	0	4/4	1	0	5						26
26	25	0	4/4	1	0	5						27
27	26	0	4/4	1	0	5			double			28
28	27	0	3/1	6	0	5						29
29	28	0	3/1	6	0	5						30
30	29	0	3/1	6	0	5						31
31	30	0	3/1	6	0	5						32
32	31	0	3/1	6	0	5						33
33	32	0	3/1	6	0	5						34
34	33	0	3/1	6	0	5						35
35	34	0	3/1	6	0	5						36
36	35	0	3/1	6	0	5						37
37	36	0	3/1	6	0	5						38
38	37	0	3/1	6	0	5						39
39	38	0	3/1	6	0	5						40
40	39	0	3/1	6	0	5						41
41	40	0	3/1	6	0	5						42
42	41	0	3/1	6	0	5						43
43	42	0	3/1	6	0	5						44
44	43	0	3/1	6	0	5						45
45	44	0	3/1	6	0	5						46
46	45	0	3/1	6	0	5						47
47	46	0	3/1	6	0	5						48
48	47	0	3/1	6	0	5						49
49	48	0	3/1	6	0	5						50
50	49	0	3/1	6	0	5						51
51	50	0	3/1	6	0	5						52
52	51	0	3/1	6	0	5						53
53	52	0	3/1	6	0	5						54
54	53	0	3/1	6	0	5						55
55	54	0	3/1	6	0	5						56
56	55	0	3/1	6	0	5						57
57	56	0	3/1	6	0	5						58
58	57	0	3/1	6	0	5						59
59	58	0	3/1	6	0	5						60
60	59	0	3/1	6	0	5						61
61	60	0	3/1	6	0	5						62
62	61	0	3/1	6	0	5						63
63	62	0	3/1	6	0	5						64
64	63	0	3/1	6	0	5						65
65	64	0	3/1	6	0	5						66
66	65	0	3/1	6	0	5						67
67	66	0	3/1	6	0	5						68
68	67	0	3/1	6	0	5						69
69	68	0	3/1	6	0	5						70
70	69	0	3/1	6	0	5						71
71	70	0	3/1	6	0	5						72
72	71	0	3/1	6	0	5						73
73	72	0	3/1	6	0	5						74
74	73	0	3/1	6	0	5						75
75	74	0	3/1	6	0	5						76
76	75	0	3/1	6	0	5						77
77	76	0	3/1	6	0	5						78
78	77	0	3/1	6	0	5						79
79	78	0	3/1	6	0	5						80
80	79	0	3/1	6	0	5						81
81	80	0	3/1	6	0	5						82
82	81	0	3/1	6	0	5						83
83	82	0	3/1	6	0	5						84
84	83	0	3/1	6	0	5						85
85	84	0	3/1	6	0	5						86
86	85	0	3/1	6	0	5						87
87	86	0	3/1	6	0	5						88
88	87	0	3/1	6	0	5						89
89	88	0	3/1	6	0	5						90
90	89	0	3/1	6	0	5						91
91	90	0	3/1	6	0	5						92
92	91	0	3/1	6	0	5						93
93	92	0	3/1	6	0	5						94
94	93	0	3/1	6	0	5						95
95	94	0	3/1	6	0	5						96
96	95	0	3/1	2	0	5			double			97
97	95	0	4/4	1	2	5					1	98
98	96	0	4/4	1	0	5						99
99	97	0	4/4	1	0	5						100
100	98	0	4/4	1	0	5						101
101	99	0	4/4	1	0	5						102
102	100	0	4/4	1	0	5						103
103	101	0	4/4	1	0	5						104
104	102	0	4/4	1	0	5						105
105	103	0	4/4	1	0	5						106
106	104	0	4/4	1	0	5						107
107	105	0	4/4	1	0	5						108
108	106	0	4/4	2	0	5	lastMeasure		end			-1
