mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1.0		1.0	1		-2	58	4	1	
2	2	0	1.0		1.0	1		5	59	4	1	
3	3	0	1.0		1.0	1		0	60	4	1	
4	4	0	1.0		1.0	1		7	61	4	1	
5	5	0	1.0		1.0	1		-1	65	3	1	
5	5	1/4	1/4		1/4	1		2	62	4	1	
5	5	1/2	1/2		1/2	1		-2	58	4	1	
6	6	0	1.0		1.0	1		3	57	4	1	
6	6	0	1.0		1.0	1		6	66	3	1	
7	7	0	1.0		1.0	1		1	67	3	1	
7	7	0	1.0		1.0	1		-2	70	1	1	
7	7	1/4	1/4		1/4	1		1	55	4	1	
7	7	1/2	3/8		1/4	3/2		1	55	4	1	
7	7	7/8	1/8		1/8	1		-1	53	4	1	
8	8	0	3/8		1/4	3/2		4	52	4	1	
8	8	0	1.0		1.0	1		8	68	3	1	
8	8	0	1.0		1.0	1		5	71	1	1	
8	8	3/8	1/8		1/8	1		2	50	4	1	
8	8	1/2	1/4		1/4	1		4	52	4	1	
8	8	3/4	1/4		1/4	1		4	52	4	1	
9	9	0	1/8		1/8	1		3	57	4	1	
9	9	0	1.0		1.0	1		0	72	1	1	
9	9	1/8	1/8		1/8	1		1	55	4	1	
9	9	1/4	1/8		1/8	1		-1	53	4	1	
9	9	1/4	1/4		1/4	1		3	69	3	1	
9	9	3/8	1/8		1/8	1		4	52	4	1	
9	9	1/2	1/8		1/8	1		-1	53	4	1	
9	9	1/2	1/2		1/2	1		-1	65	3	1	
9	9	5/8	1/8		1/8	1		4	52	4	1	
9	9	3/4	1/8		1/8	1		-1	53	4	1	
9	9	7/8	1/8		1/8	1		1	55	4	1	
10	10	0	1/2		1/2	1		3	57	4	1	
10	10	0	1.0		1.0	1		4	64	3	1	
10	10	0	1.0		1.0	1		7	73	1	1	
10	10	1/2	1/4		1/4	1		3	57	4	1	
10	10	3/4	1/4		1/4	1		1	55	4	1	
11	11	0	1/4		1/4	1		-1	53	4	1	
11	11	1/4	1/4		1/4	1		2	50	4	1	
11	11	1/4	1/4		1/4	1		3	69	3	1	
11	11	1/4	1/4		1/4	1		2	74	1	1	
11	11	1/2	1/4		1/4	1		2	50	4	1	
11	11	1/2	1/2		1/2	1	1	-1	65	3	1	
11	11	1/2	1/2		1/2	1		-2	70	1	1	
11	11	3/4	1/4		1/4	1		4	52	4	1	
12	12	0	1/4		1/4	1		-1	53	4	1	
12	12	0	1/2		1/2	1	-1	-1	65	3	1	
12	12	0	1.0		1.0	1		3	69	1	1	
12	12	1/4	1/4		1/4	1		1	55	4	1	
12	12	1/2	1/2		1/2	1		3	57	4	1	
12	12	1/2	1/2		1/2	1		4	64	3	1	
13	13	0	1/4		1/4	1		1	55	4	1	
13	13	1/4	1/2		1/2	1		1	55	4	1	
13	13	1/4	1/4		1/4	1		1	67	3	1	
13	13	1/4	1/4		1/4	1		5	71	1	1	
13	13	1/2	3/8		1/4	3/2		1	67	3	1	
13	13	1/2	3/8		1/4	3/2		5	71	1	1	
13	13	3/4	1/4		1/4	1		1	55	4	1	
13	13	7/8	1/8		1/8	1		-1	65	3	1	
13	13	7/8	1/8		1/8	1		3	69	1	1	
14	14	0	1/2		1/2	1		0	60	4	1	
14	14	0	3/8		1/4	3/2		4	64	3	1	
14	14	0	3/8		1/4	3/2		1	67	1	1	
14	14	3/8	1/8		1/8	1		2	62	3	1	
14	14	3/8	1/8		1/8	1		-1	65	1	1	
14	14	1/2	1/4		1/4	1		0	60	4	1	
14	14	1/2	1/4		1/4	1		4	64	3	1	
14	14	1/2	1/4		1/4	1		1	67	1	1	
