mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/2		1/2	1		1	67	1	1	
1	1	1/2	1/4		1/4	1		2	74	1	1	
1	1	3/4	1/4		1/4	1		4	76	1	1	
2	2	0	1/2		1/2	1		2	62	2	1	
2	2	0	1/4		1/4	1		-1	77	1	1	
2	2	1/4	1/8		1/8	1		-1	77	1	1	
2	2	3/8	1/8		1/8	1		-1	77	1	1	
2	2	1/2	1/4		1/4	1		1	67	2	1	
2	2	1/2	3/8		1/4	3/2		4	76	1	1	
2	2	3/4	1/4		1/4	1		3	69	2	1	
2	2	7/8	1/8		1/8	1		4	76	1	1	
3	3	0	1/4		1/4	1		-2	70	2	1	
3	3	0	1/4		1/4	1		2	74	1	1	
3	3	1/4	1/8		1/8	1		-2	70	2	1	
3	3	1/4	1/4		1/4	1		1	79	1	1	
3	3	3/8	1/8		1/8	1		-2	70	2	1	
3	3	1/2	3/8		1/4	3/2		3	69	2	1	
3	3	1/2	1/4		1/4	1		1	79	1	1	
3	3	3/4	1/4		1/4	1		6	78	1	1	
3	3	7/8	1/8		1/8	1		3	69	2	1	
4	4	0	1/2		1/2	1		1	55	4	1	
4	4	0	1/4		1/4	1		1	67	2	1	
4	4	0	1/4		1/4	1		1	79	1	1	
4	4	1/4	1/4		1/4	1		2	74	1	1	
4	4	1/4	1/4		1/4	1		2	74	2	1	
4	4	1/2	1/4		1/4	1		2	62	4	1	
4	4	1/2	1/4		1/4	1		2	74	2	1	
4	4	1/2	1/4		1/4	1		-1	77	1	1	
4	4	3/4	1/4		1/4	1		4	64	4	1	
4	4	3/4	1/4		1/4	1		7	73	2	1	
4	4	3/4	1/4		1/4	1	1	4	76	1	1	
5	5	0	1/2		1/2	1		2	38	5	1	
5	5	0	1/4		1/4	1		-1	65	4	1	
5	5	0	1/4		1/4	1		2	74	2	1	
5	5	0	1/8		1/8	1	-1	4	76	1	1	
5	5	1/8	1/8		1/8	1		2	74	1	1	
5	5	1/4	1/8		1/8	1		-1	65	4	1	
5	5	1/4	1/4		1/4	1		3	69	2	1	
5	5	1/4	1/2		1/2	1		2	74	1	1	
5	5	3/8	1/8		1/8	1		-1	65	4	1	
5	5	1/2	1/4		1/4	1		1	43	5	1	
5	5	1/2	3/8		1/4	3/2		4	64	4	1	
5	5	1/2	1/4		1/4	1		-2	70	2	1	
5	5	3/4	1/4		1/4	1		3	45	5	1	
5	5	3/4	1/8		1/8	1		3	69	2	1	
5	5	3/4	1/4		1/4	1		7	73	1	1	
5	5	7/8	1/8		1/8	1		4	64	4	1	
5	5	7/8	1/8		1/8	1		1	67	2	1	
6	6	0	1/4		1/4	1		-2	46	5	1	
6	6	0	1/4		1/4	1		2	62	4	1	
6	6	0	1/4		1/4	1		-1	65	2	1	
6	6	0	1/2		1/2	1		2	74	1	1	
6	6	1/4	1/8		1/8	1		-2	46	5	1	
6	6	1/4	1/4		1/4	1		1	67	2	1	
6	6	1/4	1/4		1/4	1		1	67	4	1	
6	6	3/8	1/8		1/8	1		-2	46	5	1	
6	6	1/2	3/8		1/4	3/2		3	45	5	1	
6	6	1/2	1/4		1/4	1		1	67	4	1	
6	6	1/2	3/8		1/4	3/2		3	69	2	1	
6	6	1/2	1/2		1/2	1		0	72	1	1	
6	6	3/4	1/4		1/4	1		6	66	4	1	
6	6	7/8	1/8		1/8	1		3	45	5	1	
6	6	7/8	1/8		1/8	1		3	69	2	1	
7	7	0	1/4		1/4	1		1	43	5	1	
7	7	0	1/2		1/2	1		1	55	3	1	
7	7	0	1/2		1/2	1		2	62	2	1	
7	7	0	1/4		1/4	1		1	67	4	1	
7	7	0	1/2		1/2	1		-2	70	1	1	
7	7	1/4	1/4		1/4	1		2	50	5	1	
7	7	1/4	1/4		1/4	1		2	62	4	1	
7	7	1/2	1/4		1/4	1		2	50	5	1	
7	7	1/2	1/4		1/4	1		2	62	3	1	
7	7	1/2	1/4		1/4	1		-1	65	4	1	
7	7	1/2	1/2		1/2	1		3	69	1	1	
7	7	3/4	1/4		1/4	1		7	49	5	1	
7	7	3/4	1/4		1/4	1		4	64	3	1	
7	7	3/4	1/4		1/4	1	1	4	64	4	1	
8	8	0	1/2		1/2	1		2	50	5	1	
8	8	0	1/8		1/8	1	-1	4	64	4	1	
8	8	0	1/4		1/4	1		-1	65	3	1	
8	8	0	1.0		1.0	1		3	69	1	1	
8	8	1/8	1/8		1/8	1		2	62	4	1	
8	8	1/4	1/2		1/2	1		2	62	4	1	
8	8	1/4	1/8		1/8	1		-1	65	3	1	
8	8	3/8	1/8		1/8	1		-1	65	3	1	
8	8	1/2	1/2		1/2	1		3	45	5	1	
8	8	1/2	3/8		1/4	3/2		4	64	3	1	
8	8	3/4	1/4		1/4	1		7	61	4	1	
8	8	3/4	1/4		1/4	1		3	69	2	1	
8	8	7/8	1/8		1/8	1		4	64	3	1	
9	9	0	3/8		1/4	3/2		-2	46	5	1	
9	9	0	1/4		1/4	1		2	62	3	1	
9	9	0	1/2		1/2	1		2	62	4	1	
9	9	0	1/4		1/4	1		3	69	2	1	
9	9	1/4	1/4		1/4	1		2	62	3	1	
9	9	1/4	1/4		1/4	1		1	67	2	1	
9	9	3/8	1/8		1/8	1		-2	46	5	1	
9	9	1/2	1/2		1/2	1		3	45	5	1	
9	9	1/2	1/4		1/4	1		2	62	3	1	
9	9	1/2	1/4		1/4	1		3	69	2	1	
9	9	3/4	1/4		1/4	1		3	57	4	1	
9	9	3/4	1/4		1/4	1		7	61	3	1	
9	9	3/4	1/4		1/4	1		4	64	2	1	
9	9	3/4	1/4		1/4	1	1	3	69	1	1	
10	10	0	1/4		1/4	1		2	62	3	1	
10	10	0	3/8		1/4	3/2		2	62	4	1	
10	10	0	3/8		1/4	3/2		-1	65	2	1	
10	10	0	1/4		1/4	1	-1	3	69	1	1	
10	10	1/4	1/4		1/4	1		2	38	5	1	
10	10	1/4	1/4		1/4	1		3	57	3	1	
10	10	1/4	1/2		1/2	1		2	74	1	1	
10	10	3/8	1/8		1/8	1		2	62	4	1	
10	10	3/8	1/8		1/8	1		-1	65	2	1	
10	10	1/2	3/8		1/4	3/2		1	43	5	1	
10	10	1/2	3/8		1/4	3/2		1	55	4	1	
10	10	1/2	3/8		1/4	3/2		-2	58	3	1	
10	10	1/2	1/2		1/2	1		2	62	2	1	
10	10	3/4	1/4		1/4	1		1	67	1	1	
10	10	7/8	1/8		1/8	1		1	43	5	1	
10	10	7/8	1/8		1/8	1		1	55	4	1	
10	10	7/8	1/8		1/8	1		-2	58	3	1	
11	11	0	3/8		1/4	3/2		0	36	5	1	
11	11	0	1/2		1/2	1		1	55	3	1	
11	11	0	1/2		1/2	1		0	60	4	1	
11	11	0	1/2		1/2	1		4	64	2	1	
11	11	0	1/4		1/4	1		1	67	1	1	
11	11	1/4	1/4		1/4	1		0	72	1	1	
11	11	3/8	1/8		1/8	1		0	36	5	1	
11	11	1/2	1/2		1/2	1		-1	41	5	1	
11	11	1/2	1/4		1/4	1		3	57	3	1	
11	11	1/2	1/2		1/2	1	1	3	69	2	1	
11	11	1/2	1/4		1/4	1		0	72	1	1	
11	11	3/4	1/4		1/4	1	1	3	57	4	1	
11	11	3/4	1/4		1/4	1		0	72	1	1	
12	12	0	1/2		1/2	1		2	38	5	1	
12	12	0	1/4		1/4	1	-1	3	57	4	1	
12	12	0	3/8		1/4	3/2		2	62	3	1	
12	12	0	1/4		1/4	1	-1	3	69	2	1	
12	12	0	3/8		1/4	3/2		-1	77	1	1	
12	12	1/4	1/2		1/2	1		2	62	4	1	
12	12	1/4	1/4		1/4	1		3	69	2	1	
12	12	3/8	1/8		1/8	1		2	62	3	1	
12	12	3/8	1/8		1/8	1		-1	77	1	1	
12	12	1/2	3/8		1/4	3/2		1	43	5	1	
12	12	1/2	3/8		1/4	3/2		5	59	3	1	
12	12	1/2	1/2		1/2	1	1	1	67	2	1	
12	12	1/2	3/8		1/4	3/2		2	74	1	1	
12	12	3/4	1/4		1/4	1		1	55	4	1	
12	12	7/8	1/8		1/8	1		1	43	5	1	
12	12	7/8	1/8		1/8	1		5	59	3	1	
12	12	7/8	1/8		1/8	1		2	74	1	1	
13	13	0	3/8		1/4	3/2		0	36	5	1	
13	13	0	1/4		1/4	1		1	55	4	1	
13	13	0	1/2		1/2	1		0	60	3	1	
13	13	0	1/4		1/4	1	-1	1	67	2	1	
13	13	0	3/8		1/4	3/2		4	76	1	1	
13	13	1/4	1/4		1/4	1		0	60	4	1	
13	13	1/4	1/4		1/4	1		1	67	2	1	
13	13	3/8	1/8		1/8	1		0	36	5	1	
13	13	3/8	1/8		1/8	1		2	74	1	1	
13	13	1/2	1/2		1/2	1		-1	41	5	1	
13	13	1/2	1/2		1/2	1		3	57	3	1	
13	13	1/2	1/2		1/2	1		0	60	4	1	
13	13	1/2	1/2		1/2	1		-1	65	2	1	
13	13	1/2	1/4		1/4	1		0	72	1	1	
13	13	3/4	1/4		1/4	1	1	-1	77	1	1	
14	14	0	1/4		1/4	1		2	38	5	1	
14	14	0	1/4		1/4	1		-2	58	3	1	
14	14	0	1/4		1/4	1		2	62	4	1	
14	14	0	1/4		1/4	1		-1	65	2	1	
14	14	0	1/4		1/4	1	-1	-1	77	1	1	
14	14	1/4	1/4		1/4	1		-2	34	5	1	
14	14	1/4	1/2		1/2	1		-2	58	3	1	
14	14	1/4	1/4		1/4	1		2	62	4	1	
14	14	1/4	1/4		1/4	1		-1	65	2	1	
14	14	1/4	1/4		1/4	1		2	74	1	1	
14	14	1/2	1/2		1/2	1		-1	41	5	1	
14	14	1/2	1/4		1/4	1		-1	65	4	1	
14	14	1/2	1/2		1/2	1		-1	65	2	1	
14	14	1/2	1/2		1/2	1		0	72	1	1	
14	14	3/4	1/4		1/4	1		3	57	3	1	
14	14	3/4	1/4		1/4	1		0	60	4	1	
15	15	0	1/2		1/2	1		-2	34	5	1	
15	15	0	1.0		1.0	1		-2	58	3	1	
15	15	0	1/4		1/4	1		2	62	4	1	
15	15	0	1/2		1/2	1		-1	65	2	1	
15	15	0	1/4		1/4	1		-2	70	1	1	
15	15	1/4	1/4		1/4	1		-2	58	4	1	
15	15	1/4	1/2		1/2	1		-2	70	1	1	
15	15	1/2	1/2		1/2	1		-3	39	5	1	
15	15	1/2	1/2		1/2	1		1	55	4	1	
15	15	1/2	1/2		1/2	1		-3	63	2	1	
15	15	3/4	1/4		1/4	1	1	1	67	1	1	
16	16	0	1/2		1/2	1		0	36	5	1	
16	16	0	1/2		1/2	1		0	60	4	1	
16	16	0	1/2		1/2	1		-3	63	3	1	
16	16	0	1/4		1/4	1	-1	1	67	1	1	
16	16	0	1/2		1/2	1		1	67	2	1	
16	16	1/4	1/2		1/2	1		0	72	1	1	
16	16	1/2	1/2		1/2	1		-1	41	5	1	
16	16	1/2	1/2		1/2	1		3	57	4	1	
16	16	1/2	1/2		1/2	1		0	60	3	1	
16	16	1/2	1/2		1/2	1		-1	65	2	1	
16	16	3/4	1/4		1/4	1	1	3	69	1	1	
17	17	0	1/2		1/2	1		2	38	5	1	
17	17	0	3/8		1/4	3/2		2	62	4	1	
17	17	0	1/2		1/2	1		-1	65	3	1	
17	17	0	1/4		1/4	1	-1	3	69	1	1	
17	17	0	1/2		1/2	1		3	69	2	1	
17	17	1/4	3/8		1/4	3/2		2	74	1	1	
17	17	3/8	1/8		1/8	1		0	60	4	1	
17	17	1/2	3/8		1/4	3/2		1	43	5	1	
17	17	1/2	3/8		1/4	3/2		-2	58	4	1	
17	17	1/2	1/2		1/2	1		2	62	3	1	
17	17	1/2	1/2		1/2	1	1	1	67	2	1	
17	17	5/8	1/8		1/8	1		0	72	1	1	
