mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0	0	0	4/4	3	1	3/4	1/2	3/2		3	57	A3	3	0
1	1	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1	1	2	50	D3	3	3
1	1	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1	1	-1	53	F3	3	2
1	1	3	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	1
2	2	4	1.0	0	0	4/4	5	1	1/4	1/4	1	-1	2	50	D3	3	13
2	2	4	1.0	0	0	4/4	4	1	1/4	1/4	1	-1	-1	53	F3	3	8
2	2	4	1.0	0	0	4/4	3	1	1/4	1/4	1		3	57	A3	3	4
2	2	5	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		2	50	D3	3	14
2	2	5	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		-1	53	F3	3	9
2	2	5	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		3	57	A3	3	5
2	2	11/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	6
2	2	6	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		2	50	D3	3	15
2	2	6	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		-1	53	F3	3	10
2	2	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	7
2	2	7	0.5	3/4	3/4	4/4	5	1	1/8	1/8	1		2	50	D3	3	16
2	2	7	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		-1	53	F3	3	11
2	2	15/2	0.5	7/8	7/8	4/4	5	1	1/8	1/8	1		2	50	D3	3	17
2	2	15/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		-1	53	F3	3	12
3	3	8	2.0	0	0	4/4	5	1	1/2	1/2	1		2	50	D3	3	23
3	3	8	2.0	0	0	4/4	4	1	1/2	1/2	1		-1	53	F3	3	20
3	3	8	3.0	0	0	4/4	3	1	3/4	1/2	3/2		3	57	A3	3	18
3	3	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1	1	2	50	D3	3	24
3	3	10	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		-1	53	F3	3	21
3	3	11	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-1	53	F3	3	22
3	3	11	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	19
4	4	12	1.0	0	0	4/4	5	1	1/4	1/4	1	-1	2	50	D3	3	31
4	4	12	1.5	0	0	4/4	4	1	3/8	1/4	3/2		-1	53	F3	3	28
4	4	12	1.5	0	0	4/4	3	1	3/8	1/4	3/2		3	57	A3	3	25
4	4	13	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		2	50	D3	3	32
4	4	27/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		-1	53	F3	3	29
4	4	27/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	26
4	4	14	1.5	1/2	1/2	4/4	5	1	3/8	1/4	3/2		2	50	D3	3	33
4	4	14	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1	1	-1	53	F3	3	30
4	4	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	27
4	4	31/2	0.5	7/8	7/8	4/4	5	1	1/8	1/8	1		0	48	C3	3	34
5	5	16	2.0	0	0	4/4	5	1	1/2	1/2	1		-2	46	Bb2	2	41
5	5	16	1.0	0	0	4/4	4	1	1/4	1/4	1	-1	-1	53	F3	3	38
5	5	16	1.0	0	0	4/4	3	1	1/4	1/4	1		3	57	A3	3	35
5	5	17	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	39
5	5	17	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	36
5	5	18	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-2	46	Bb2	2	42
5	5	18	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	40
5	5	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	37
6	6	20	4.0	0	0	4/4	5	1	1	1	1	1	3	45	A2	2	51
6	6	20	1.0	0	0	4/4	4	1	1/4	1/4	1		4	52	E3	3	47
6	6	20	1.0	0	0	4/4	3	1	1/4	1/4	1		3	57	A3	3	43
6	6	21	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		-1	53	F3	3	48
6	6	21	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	44
6	6	22	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		4	52	E3	3	49
6	6	22	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		1	55	G3	3	45
6	6	23	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-1	53	F3	3	50
6	6	23	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		3	57	A3	3	46
7	7	24	4.0	0	0	4/4	5	1	1	1	1	0	3	45	A2	2	60
7	7	24	1.0	0	0	4/4	4	1	1/4	1/4	1		2	50	D3	3	56
7	7	24	1.0	0	0	4/4	3	1	1/4	1/4	1		6	54	F#3	3	52
7	7	25	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		4	52	E3	3	57
7	7	25	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	53
7	7	26	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		7	49	C#3	3	58
7	7	26	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		4	52	E3	3	54
7	7	27	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1	1	2	50	D3	3	59
7	7	27	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1	1	-1	53	F3	3	55
8	8	28	4.0	0	0	4/4	5	1	1	1	1	-1	3	45	A2	2	69
8	8	28	0.5	0	0	4/4	4	1	1/8	1/8	1	-1	2	50	D3	3	65
8	8	28	0.5	0	0	4/4	3	1	1/8	1/8	1	-1	-1	53	F3	3	61
8	8	57/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	66
8	8	57/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		-1	53	F3	3	62
8	8	29	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	67
8	8	29	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		-1	53	F3	3	63
8	8	30	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		7	49	C#3	3	68
8	8	30	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	52	E3	3	64
9	9	32	1.0	0	0	4/4	3	1	1/4	1/4	1		2	50	D3	3	70
9	9	32	1.0	0	0	4/4	4	1	1/4	1/4	1		2	50	D3	3	74
9	9	32	4.0	0	0	4/4	5	1	1	1	1	1	2	50	D3	3	78
9	9	33	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	75
9	9	33	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	71
9	9	34	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		3	57	A3	3	76
9	9	34	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		0	60	C4	4	72
9	9	35	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	77
9	9	35	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	73
10	10	36	4.0	0	0	4/4	5	1	1	1	1	-1	2	50	D3	3	87
10	10	36	1.0	0	0	4/4	4	1	1/4	1/4	1		1	55	G3	3	83
10	10	36	1.0	0	0	4/4	3	1	1/4	1/4	1		5	59	B3	3	79
10	10	37	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		3	57	A3	3	84
10	10	37	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		0	60	C4	4	80
10	10	38	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		6	54	F#3	3	85
10	10	38	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		3	57	A3	3	81
10	10	39	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1	1	1	55	G3	3	86
10	10	39	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1	1	-2	58	Bb3	3	82
11	11	40	0.5	0	0	4/4	4	1	1/8	1/8	1	-1	1	55	G3	3	92
11	11	40	0.5	0	0	4/4	3	1	1/8	1/8	1	-1	-2	58	Bb3	3	88
11	11	81/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		1	55	G3	3	93
