mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	4/4	5	1	g.i					g	i		i	i							m	1	1	1, -2, 2		1	1	0	13	0.0	0.0	3.75	0.0
2	2	1/2	1/2	4/4	5	1	v6					g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	1	15	0.0625	0.0625	5.1875	0.011904761904761904
3	3	1/2	1/2	4/4	5	1	IV.ii43					g	IV		ii43	ii		43					mm7	1	0	3, 0, 2, -1		2	3	0	6	0.0	0.0	2.25	0.0
4	4	0	0	4/4	5	1	V(+4)					g	IV		V(+4)	V			+4				M	1	0	1, 5, 2	0	1	1	0	6	0.0	0.0	4.0	0.0
4	4	1/2	1/2	4/4	5	1	V					g	IV		V	V							M	1	0	1, 5, 2		1	1	0	2	0.0	0.0	1.0	0.0
5	5	0	0	4/4	5	1	I\\					g	IV		I	I						\\	M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	2.5	0.0
5	5	3/4	3/4	4/4	5	1	i.VII					g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	15	0.0	0.0	3.75	0.0
6	6	1/2	1/2	4/4	5	1	VI					g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	10	0.0	0.0	2.5	0.0
7	7	0	0	4/4	5	1	V					g	i		V	V							M	1	1	2, 6, 3		2	2	0	10	0.0	0.0	2.5	0.0
7	7	1/2	1/2	4/4	5	1	i					g	i		i	i							m	1	1	1, -2, 2		1	1	2	8	0.2	0.25	2.25	0.1
8	8	0	0	4/4	5	1	V\\					g	i		V	V						\\	M	1	1	2, 6, 3		2	2	0	10	0.0	0.0	4.75	0.0
8	8	3/4	3/4	4/4	5	1	v.I					g	v		I	I							M	1	1	2, 6, 3		2	2	0	1	0.0	0.0	0.25	0.0
9	9	0	0	4/4	5	1	iv					g	v		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.5	0.0
9	9	1/4	1/4	4/4	5	1	i6					g	v		i6	i		6					m	1	1	-1, 3, 2		2	-1	2	2	0.5	0.25	0.25	0.5
9	9	1/2	1/2	4/4	5	1	i					g	v		i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.5	0.5	0.5
10	10	0	0	4/4	5	1	IV6					g	v		IV6	IV		6					M	1	1	5, 2, 1		1	5	1	5	0.16666666666666666	0.125	3.125	0.038461538461538464
10	10	1/2	1/2	4/4	5	1	IV6(9)					g	v		IV6(9)	IV		6	9				M	1	1	5, 2, 1	3	1	5	2	1	0.6666666666666666	0.25	0.5	0.3333333333333333
11	11	0	0	4/4	5	1	viio6(2)/V					g	v		viio6(2)/V	vii	o	6	2	V			o	1	1	5, 2, 3		8	5	0	5	0.0	0.0	2.5	0.0
11	11	1/4	1/4	4/4	5	1	viio6/V					g	v		viio6/V	vii	o	6		V			o	1	1	5, 2, 8		8	5	0	1	0.0	0.0	0.25	0.0
11	11	1/2	1/2	4/4	5	1	V(4)					g	v		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	4	0.0	0.0	2.0	0.0
11	11	3/4	3/4	4/4	5	1	V					g	v		V	V							M	1	1	3, 7, 4		3	3	0	1	0.0	0.0	0.25	0.0
12	12	0	0	4/4	5	1	i					g	v		i	i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	3.0	0.0
12	12	1/2	1/2	4/4	5	1	ii6(+42)					g	v		ii6(+42)	ii		6	+42				m	1	1	1, 5, -1	3	4	1	0	3	0.0	0.0	1.375	0.0
12	12	3/4	3/4	4/4	5	1	ii6					g	v		ii6	ii		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.125	0.5	0.2
13	13	0	0	4/4	5	1	v7					g	v		v7	v		7					mm7	1	1	3, 0, 4, 1		3	3	0	5	0.0	0.0	2.0	0.0
13	13	1/4	1/4	4/4	5	1	V(64)					g	v		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	4	0.0	0.0	1.25	0.0
13	13	1/2	1/2	4/4	5	1	V(4)					g	v		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	3	0.0	0.0	1.25	0.0
13	13	3/4	3/4	4/4	5	1	V					g	v		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
14	14	0	0	4/4	5	1	I\\					g	v		I	I						\\	M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	5.0	0.0
15	15	1/4	1/4	4/4	5	1	VII.vi					g	VII		vi	vi							m	1	0	2, -1, 3		2	2	0	18	0.0	0.0	3.75	0.0
16	16	1/2	1/2	4/4	5	1	V					g	VII		V	V							M	1	0	0, 4, 1		0	0	0	12	0.0	0.0	2.25	0.0
17	17	1/4	1/4	4/4	5	1	ii6					g	VII		ii6	ii		6					m	1	0	-2, 2, 1		1	-2	0	3	0.0	0.0	0.75	0.0
17	17	1/2	1/2	4/4	5	1	V					g	VII		V	V							M	1	0	0, 4, 1		0	0	0	6	0.0	0.0	2.25	0.0
18	18	1/4	1/4	4/4	5	1	I\\					g	VII		I	I						\\	M	1	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
18	18	1/2	1/2	4/4	5	1	I					g	VII		I	I							M	1	0	-1, 3, 0		-1	-1	0	11	0.0	0.0	2.5	0.0
19	19	1/4	1/4	4/4	5	1	V6					g	VII		V6	V		6					M	1	0	4, 1, 0		0	4	2	2	0.5	0.25	0.25	0.5
19	19	1/2	1/2	4/4	5	1	V					g	VII		V	V							M	1	0	0, 4, 1		0	0	2	11	0.15384615384615385	0.25	3.25	0.07142857142857142
20	20	3/4	3/4	4/4	5	1	I.vi	-0.2	-8	/	IV6	g	I		vi	vi							m	1	0	4, 1, 5		4	4	0	3	0.0	0.0	0.75	0.0
21	21	0	0	4/4	5	1	V					g	I		V	V							M	1	0	2, 6, 3		2	2	0	3	0.0	0.0	2.25	0.0
21	21	3/4	3/4	4/4	5	1	I\\					g	I		I	I						\\	M	1	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
22	22	1/4	1/4	4/4	5	1	I					g	I		I	I							M	1	0	1, 5, 2		1	1	0	8	0.0	0.0	2.0	0.0
23	23	1/4	1/4	4/4	5	1	ii					g	I		ii	ii							m	1	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
23	23	1/2	1/2	4/4	5	1	bVII					g	I		bVII	bVII							M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.5	0.0
24	24	1/4	1/4	4/4	5	1	IV					g	I		IV	IV							M	1	0	0, 4, 1		0	0	0	6	0.0	0.0	1.5	0.0
24	24	3/4	3/4	4/4	5	1	V					g	I		V	V							M	1	0	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
25	25	0	0	4/4	5	1	I					g	I		I	I							M	1	0	1, 5, 2		1	1	0	6	0.0	0.0	1.5	0.0
25	25	1/2	1/2	4/4	5	1	v.iv					g	v		iv	iv							m	1	1	1, -2, 2		1	1	0	12	0.0	0.0	2.25	0.0
26	26	1/4	1/4	4/4	5	1	V					g	v		V	V							M	1	1	3, 7, 4		3	3	0	6	0.0	0.0	0.75	0.0
26	26	1/2	1/2	4/4	5	1	I\\					g	v		I	I						\\	M	1	1	2, 6, 3		2	2	0	6	0.0	0.0	1.5	0.0
27	27	1/4	1/4	4/4	5	1	III.V/vi					g	III		V/vi	V				vi			M	1	0	2, 6, 3		2	2	0	25	0.0	0.0	5.0	0.0
28	28	1/4	1/4	4/4	5	1	vi					g	III		vi	vi							m	1	0	1, -2, 2		1	1	0	5	0.0	0.0	1.25	0.0
28	28	1/2	1/2	4/4	5	1	V					g	III		V	V							M	1	0	-1, 3, 0		-1	-1	0	20	0.0	0.0	3.75	0.0
29	29	1/4	1/4	4/4	5	1	ii6					g	III		ii6	ii		6					m	1	0	-3, 1, 0		0	-3	0	5	0.0	0.0	1.25	0.0
29	29	1/2	1/2	4/4	5	1	V					g	III		V	V							M	1	0	-1, 3, 0		-1	-1	0	10	0.0	0.0	3.75	0.0
30	30	1/4	1/4	4/4	5	1	I\\					g	III		I	I						\\	M	1	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	1.25	0.0
30	30	1/2	1/2	4/4	5	1	I					g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	18	0.0	0.0	4.25	0.0
31	31	1/4	1/4	4/4	5	1	V6(+6)					g	III		V6(+6)	V		6	+6				M	1	0	3, 0, -1	2	-1	3	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
31	31	1/2	1/2	4/4	5	1	iii6					g	III		iii6	iii		6					m	1	0	-1, 3, 2		2	-1	3	4	0.42857142857142855	0.375	1.625	0.1875
32	32	0	0	4/4	5	1	V					g	III		V	V							M	1	0	-1, 3, 0		-1	-1	0	15	0.0	0.0	3.75	0.0
32	32	3/4	3/4	4/4	5	1	IV.vi	-1	-5	/		g	IV		vi	vi							m	1	0	3, 0, 4		3	3	0	5	0.0	0.0	1.25	0.0
33	33	0	0	4/4	5	1	V					g	IV		V	V							M	1	0	1, 5, 2		1	1	0	5	0.0	0.0	3.75	0.0
33	33	3/4	3/4	4/4	5	1	I\\					g	IV		I	I						\\	M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	1.25	0.0
34	34	1/4	1/4	4/4	5	1	I					g	IV		I	I							M	1	0	0, 4, 1		0	0	0	20	0.0	0.0	5.0	0.0
35	35	1/4	1/4	4/4	5	1	ii					g	IV		ii	ii							m	1	0	2, -1, 3		2	2	0	5	0.0	0.0	1.25	0.0
35	35	1/2	1/2	4/4	5	1	bVII					g	IV		bVII	bVII							M	1	0	-2, 2, -1		-2	-2	0	10	0.0	0.0	3.75	0.0
36	36	1/4	1/4	4/4	5	1	IV					g	IV		IV	IV							M	1	0	-1, 3, 0		-1	-1	0	10	0.0	0.0	2.5	0.0
36	36	3/4	3/4	4/4	5	1	V					g	IV		V	V							M	1	0	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
37	37	0	0	4/4	5	1	I					g	IV		I	I							M	1	0	0, 4, 1		0	0	0	10	0.0	0.0	2.5	0.0
37	37	1/2	1/2	4/4	5	1	i.IV					g	i		IV	IV							M	1	1	0, 4, 1		0	0	0	20	0.0	0.0	3.75	0.0
38	38	1/4	1/4	4/4	5	1	V					g	i		V	V							M	1	1	2, 6, 3		2	2	0	10	0.0	0.0	1.25	0.0
38	38	1/2	1/2	4/4	5	1	I\\					g	i		I	I						\\	M	1	1	1, 5, 2		1	1	0	10	0.0	0.0	2.5	0.0
39	39	0	0	4/4	5	1	I.I					g	I		I	I							M	1	0	1, 5, 2		1	1	0	6	0.0	0.0	5.5	0.0
40	40	1/2	1/2	4/4	5	1	I(+2)					g	I		I(+2)	I			+2				M	1	0	1, 5, 2	3	1	1	0	1	0.0	0.0	0.5	0.0
41	41	0	0	4/4	5	1	I					g	I		I	I							M	1	0	1, 5, 2		1	1	1	5	0.16666666666666666	0.125	2.375	0.05
41	41	1/2	1/2	4/4	5	1	V6					g	I		V6	V		6					M	1	0	6, 3, 2		2	6	1	6	0.14285714285714285	0.125	2.125	0.05555555555555555
42	42	0	0	4/4	5	1	V43(4)/V					g	I		V43(4)/V	V		43	4	V			Mm7	1	0	4, 1, 3, 2		3	4	0	5	0.0	0.0	3.0	0.0
42	42	1/2	1/2	4/4	5	1	V/V					g	I		V/V	V				V			M	1	0	3, 7, 4		3	3	0	5	0.0	0.0	2.0	0.0
43	43	0	0	4/4	5	1	V					g	I		V	V							M	1	0	2, 6, 3		2	2	0	10	0.0	0.0	4.75	0.0
44	44	0	0	4/4	5	1	ii6					g	I		ii6	ii		6					m	1	0	0, 4, 3		3	0	1	5	0.16666666666666666	0.25	2.5	0.09090909090909091
44	44	1/2	1/2	4/4	5	1	ii43					g	I		ii43	ii		43					mm7	1	0	4, 1, 3, 0		3	4	0	5	0.0	0.0	2.25	0.0
45	45	0	0	4/4	5	1	V(4)					g	I		V(4)	V			4				M	1	0	2, 1, 3		2	2	0	5	0.0	0.0	4.5	0.0
45	45	1/2	1/2	4/4	5	1	V					g	I		V	V							M	1	0	2, 6, 3		2	2	0	1	0.0	0.0	0.5	0.0
46	46	0	0	4/4	5	1	I\\					g	I		I	I						\\	M	1	0	1, 5, 2		1	1	0	5	0.0	0.0	4.5	0.0
