mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	5	1	d.i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	34	0.02857142857142857	0.125	10.875	0.011363636363636364
5	5	0	0	4/4	5	1	VIM7					d	i		VIM7	VI	M	7					MM7	1	1	-2, 2, -1, 3		-2	-2	0	3	0.0	0.0	1.0	0.0
5	5	1/4	1/4	4/4	5	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	5	0.0	0.0	2.0	0.0
6	6	0	0	4/4	5	1	v[v					d	i	v	v	v							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	1.5	0.0
6	6	1/4	1/4	4/4	5	1	i6					d	i	v	i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
6	6	1/2	1/2	4/4	5	1	V7					d	i	v	V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.5	0.0
6	6	3/4	3/4	4/4	5	1	i6					d	i	v	i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
7	7	0	0	4/4	5	1	I					d	i	v	I	I							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	1.5	0.0
7	7	1/4	1/4	4/4	5	1	V7					d	i	v	V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	5	1	V					d	i	v	V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	5	1	V(64)					d	i	v	V(64)	V			64				M	1	1	3, 2, -1		3	3	0	9	0.0	0.0	2.5	0.0
8	8	1/2	1/2	4/4	5	1	V]					d	i	v	V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	1.0	0.0
9	9	0	0	4/4	5	1	i[i\\					d	i	i	i	i						\\	m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.5	0.0
9	9	1/4	1/4	4/4	5	1	iv.i6					d	iv	v	i6	i		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	5	1	V7					d	iv	v	V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
9	9	3/4	3/4	4/4	5	1	i6					d	iv	v	i6	i		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.5	0.0
10	10	0	0	4/4	5	1	I					d	iv	v	I	I							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	1.5	0.0
10	10	1/4	1/4	4/4	5	1	V7					d	iv	v	V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
10	10	1/2	1/2	4/4	5	1	V					d	iv	v	V	V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
10	10	3/4	3/4	4/4	5	1	V(64)]	0	-8	/		d	iv	v	V(64)	V			64				M	1	1	2, 1, -2		2	2	0	2	0.0	0.0	0.5	0.0
11	11	0	0	4/4	5	1	i					d	iv		i	i							m	1	1	1, -2, 2		1	1	0	6	0.0	0.0	1.0	0.0
11	11	1/2	1/2	4/4	5	1	#viio	0	-8	/	V6	d	iv		#viio	#vii	o						o	1	1	6, 3, 0		6	6	0	2	0.0	0.0	1.0	0.0
12	12	0	0	4/4	5	1	i\\					d	iv		i	i						\\	m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	2.0	0.0
13	13	1/4	1/4	4/4	5	1	VI.vi					d	VI		vi	vi							m	1	0	1, -2, 2		1	1	1	11	0.08333333333333333	0.125	2.875	0.041666666666666664
14	14	0	0	4/4	5	1	IV					d	VI		IV	IV							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	1.0	0.0
14	14	1/4	1/4	4/4	5	1	ii					d	VI		ii	ii							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
14	14	1/2	1/2	4/4	5	1	I					d	VI		I	I							M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
14	14	7/8	7/8	4/4	5	1	ii					d	VI		ii	ii							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	0.5	0.0
15	15	0	0	4/4	5	1	I6					d	VI		I6	I		6					M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	1.0	0.0
15	15	1/4	1/4	4/4	5	1	ii65					d	VI		ii65	ii		65					mm7	1	0	-3, 1, -2, 0		0	-3	0	4	0.0	0.0	1.0	0.0
15	15	1/2	1/2	4/4	5	1	V					d	VI		V	V							M	1	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
16	16	0	0	4/4	5	1	I\\					d	VI		I	I						\\	M	1	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	2.25	0.0
