piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	musicbrainz	viaf	originalFormat	wikidata	imslp	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument
2-12	1: 4/4	1: -1	93	93	372.0	93	93	372.0	1374.0	1011	454	0	0	225	F	2.1.0	Adrian Nagel	1590	1590	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il secondo libro de madrigali	12	Ecco mormorar l’onde e tremolar le fronde	SV 51					2019-03-11	3.02	Apple Macintosh			12. Ecco mormorar l’onde e tremolar le fronde, SV 51	from: Il secondo libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/2-12.mscx	False	41-77 (F2-F5)	https://musicbrainz.org/work/dc9e4bd6-d021-4fda-9af5-3e9c76edf889	https://viaf.org/viaf/178035735	mxl		https://imslp.org/wiki/Madrigals%2C_Book_2%2C_SV_40%E2%80%9359_(Monteverdi%2C_Claudio)	60-77 (C4-F5)	Soprano	60-74 (C4-D5)	Soprano	53-69 (F3-A4)	Alto	48-65 (C3-F4)	Tenor	41-58 (F2-Bb3)	Bass
3-09	1: 4/4	1: -1	84	84	680.0	84	84	680.0	2534.0	886	365	0	0	190	F	2.1.0	Adrian Nagel	1592	1592	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il terzo libro de madrigali	9	O primavera gioventù del anno	SV 68				"Created by Steven Langley Guy
on Saturday, the 20th of March, 2004.
Completed at 3.29 p.m."	2019-03-11	3.02	Apple Macintosh			9. O primavera gioventù del anno, SV 68	from: Il terzo libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/3-09.mscx	False	41-77 (F2-F5)	https://musicbrainz.org/work/dd6ef6f0-4da7-45d1-9b31-3f4aeb018cb0	https://viaf.org/viaf/189350929	xml		https://imslp.org/wiki/Madrigals%2C_Book_3%2C_SV_60%E2%80%9374_(Monteverdi%2C_Claudio)	60-77 (C4-F5)	Soprano	57-74 (A3-D5)	Soprano	53-72 (F3-C5)	Alto	48-67 (C3-G4)	Tenor	41-58 (F2-Bb3)	Bass
4-19	1: 4/4	1: 0	111	111	448.0	111	111	448.0	1726.0	956	402	0	0	185	d	2.1.0	Adrian Nagel	1603	1603	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quarto libro de madrigali	19	Piagn’e sospira e quandi caldi raggi	SV 93					2019-03-15	3.02	Apple Macintosh			19. Piagn’e sospira e quandi caldi raggi, SV 93	from: Il quarto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/4-19.mscx	False	43-76 (G2-E5)	https://musicbrainz.org/work/e664e8fb-76d6-419d-8c0c-e4e9579573bb	https://viaf.org/viaf/197653496	xml		https://imslp.org/wiki/Madrigals%2C_Book_4%2C_SV_75%E2%80%9393_(Monteverdi%2C_Claudio)	57-76 (A3-E5)	Soprano	57-76 (A3-E5)	Soprano	53-69 (F3-A4)	Alto	48-66 (C3-F#4)	Tenor	43-57 (G2-A3)	Bass
5-01	1: 4/4	1: 0	67	67	268.0	67	67	268.0	1088.5	661	265	0	0	176	G	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	1	Cruda Amarilli che col nome ancora d’amar	SV 94					2019-03-04	3.02	Apple Macintosh			1. Cruda Amarilli che col nome ancora d’amar, SV 94	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-01.mscx	False	45-81 (A2-A5)	https://musicbrainz.org/work/50892264-abef-445d-b0d4-47c5d5083ac9	https://viaf.org/viaf/177111921	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	64-81 (E4-A5)	Soprano	59-77 (B3-F5)	Soprano	52-69 (E3-A4)	Alto	55-69 (G3-A4)	Tenor	45-62 (A2-D4)	Bass
5-03	1: 4/4	1: -1	74	74	296.0	74	74	296.0	1073.0	652	293	0	0	152	d	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	3	Era l’anima mia già presso a l’ultim’ hore	SV 96					2019-03-04	3.02	Apple Macintosh			3. Era l’anima mia già presso a l’ultim’ hore, SV 96	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-03.mscx	False	43-77 (G2-F5)	https://musicbrainz.org/work/b64970ac-3185-4afa-a8e5-1d7c0d5970d5	https://viaf.org/viaf/173912241	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	62-77 (D4-F5)	Soprano	61-74 (C#4-D5)	Soprano	50-70 (D3-Bb4)	Alto	49-65 (C#3-F4)	Tenor	43-58 (G2-Bb3)	Bass
5-04a	1: 4/4	1: -1	82	82	328.0	82	82	328.0	1401.0	939	284	0	0	128	g	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	4	Ecco, Silvio, colei ch’in odio hai tanto	SV 97a					2019-03-04	3.02	Apple Macintosh			4. Ecco, Silvio, colei ch’in odio hai tanto, SV 97a	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-04a.mscx	False	46-82 (Bb2-Bb5)	https://musicbrainz.org/work/4d4cedaa-b0eb-4764-87fc-e5d1302c1ab0	https://viaf.org/viaf/178672072	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	65-82 (F4-Bb5)	Soprano	64-81 (E4-A5)	Soprano	55-74 (G3-D5)	Alto	53-69 (F3-A4)	Tenor	46-63 (Bb2-Eb4)	Bass
5-04c	1: 4/4	1: -1	53	53	212.0	53	53	212.0	826.0	589	187	0	0	105	g	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	4	Dorinda, ah dirò mia, se mia non sei	SV 97c					2019-03-04	3.02	Apple Macintosh			4. Dorinda, ah dirò mia, se mia non sei, SV 97c	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-04c.mscx	False	46-81 (Bb2-A5)	https://musicbrainz.org/work/ba88b8a5-ba86-4664-8615-e6058cd953d3	https://viaf.org/viaf/178672072	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	66-81 (F#4-A5)	Soprano	65-79 (F4-G5)	Soprano	55-74 (G3-D5)	Alto	55-69 (G3-A4)	Tenor	46-63 (Bb2-Eb4)	Bass
5-04d	1: 4/4	1: -1	59	59	236.0	59	59	236.0	950.0	715	263	0	0	125	g	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	4	Ecco, piegando le ginocchie a terra	SV 97d					2019-03-04	3.02	Apple Macintosh			4. Ecco, piegando le ginocchie a terra, SV 97d	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-04d.mscx	False	45-82 (A2-Bb5)	https://musicbrainz.org/work/aab582e5-6273-4022-a48c-b3f0356b46d8	https://viaf.org/viaf/178672072	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	65-82 (F4-Bb5)	Soprano	62-81 (D4-A5)	Soprano	55-74 (G3-D5)	Alto	53-69 (F3-A4)	Tenor	45-65 (A2-F4)	Bass
5-04e	1: 4/4	1: -1	95	95	380.0	95	95	380.0	1530.5	1213	371	0	0	219	g	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	4	Ferrir quel petto, Silvio	SV 97e					2019-03-04	3.02	Apple Macintosh			4. Ferrir quel petto, Silvio, SV 97e	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-04e.mscx	False	43-81 (G2-A5)	https://musicbrainz.org/work/53635f10-f4a9-48a2-b089-c67611da89d3	https://viaf.org/viaf/178672072	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	65-81 (F4-A5)	Soprano	62-81 (D4-A5)	Soprano	60-74 (C4-D5)	Alto	50-69 (D3-A4)	Tenor	43-62 (G2-D4)	Bass
5-05b	1: 4/4	1: -1	58	58	232.0	58	58	232.0	930.0	685	203	0	0	98	g	2.1.0	Adrian Nagel	1605	1605	https://en.wikipedia.org/wiki/List_of_compositions_by_Claudio_Monteverdi#	Claudio Monteverdi	Il quinto libro de madrigali	5	Deh bella e cara	SV 98b					2019-03-04	3.02	Apple Macintosh			5. Deh bella e cara, SV 98b	from: Il quinto libro de madrigali	Claudio Monteverdi	3.6.2	2.5.4	MS3	MS3/5-05b.mscx	False	41-79 (F2-G5)	https://musicbrainz.org/work/33b7531c-3f80-464f-b5a4-7a89bc04c548	https://viaf.org/viaf/178955022	xml		https://imslp.org/wiki/Madrigals%2C_Book_5%2C_SV_94%E2%80%93106_(Monteverdi%2C_Claudio)	62-79 (D4-G5)	Soprano	58-77 (Bb3-F5)	Soprano	55-70 (G3-Bb4)	Alto	62-74 (D4-D5)	Tenor	41-58 (F2-Bb3)	Bass
