mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	.C.I	C	I		I	I						M	0	0	0, 4, 1		0	0
2	2	1/2	IM2	C	I		IM2	I	M	2				MM7	0	0	5, 0, 4, 1		0	5
2	2	5/4	vi	C	I		vi	vi						m	0	0	3, 0, 4		3	3
3	3	1/2	vi2	C	I		vi2	vi		2				mm7	0	0	1, 3, 0, 4		3	1
3	3	5/4	ii65	C	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
4	4	1/2	V(4)	C	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
4	4	5/4	V(+4)	C	I		V(+4)	V			+4			M	0	0	1, 5, 2	0	1	1
5	5	0	I	C	I		I	I						M	0	0	0, 4, 1		0	0
5	5	1/2	I\\	C	I		I	I					\\	M	0	0	0, 4, 1		0	0
6	6	0	viio6	C	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
6	6	1/2	I6(2)	C	I		I6(2)	I		6	2			M	0	0	4, 1, 2		0	4
6	6	5/4	I6(+9)	C	I		I6(+9)	I		6	+9			M	0	0	4, 1, 0	2	0	4
7	7	0	ii65	C	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
7	7	1/2	V(4)	C	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
7	7	5/4	vi(+4)	C	I		vi(+4)	vi			+4			m	0	0	3, 0, 4	2	3	3
8	8	0	ii65	C	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
8	8	1/2	V(4)	C	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
8	8	5/4	V(+4)	C	I		V(+4)	V			+4			M	0	0	1, 5, 2	0	1	1
9	9	0	I	C	I		I	I						M	0	0	0, 4, 1		0	0
9	9	1/2	I\\	C	I		I	I					\\	M	0	0	0, 4, 1		0	0
10	10	1/4	vi.VIM7	C	vi		VIM7	VI	M	7				MM7	0	1	-4, 0, -3, 1		-4	-4
11	11	0	V	C	vi		V	V						M	0	1	1, 5, 2		1	1
12	12	0	i	C	vi		i	i						m	0	1	0, -3, 1		0	0
12	12	1/2	i(97)	C	vi		i(97)	i			97			m	0	1	0, -3, 1	2, -2	0	0
12	12	5/4	i	C	vi		i	i						m	0	1	0, -3, 1		0	0
13	13	0	V/III	C	vi		V/III	V				III		M	0	1	-2, 2, -1		-2	-2
13	13	1/2	V(94)/III	C	vi		V(94)/III	V			94	III		M	0	1	-2, -3, -1	0	-2	-2
13	13	5/4	V/III	C	vi		V/III	V				III		M	0	1	-2, 2, -1		-2	-2
14	14	0	III	C	vi		III	III						M	0	1	-3, 1, -2		-3	-3
14	14	1/2	III(97)	C	vi		III(97)	III			97			M	0	1	-3, 1, -2	-1, 2	-3	-3
14	14	5/4	i6	C	vi		i6	i		6				m	0	1	-3, 1, 0		0	-3
15	15	0	iv	C	vi		iv	iv						m	0	1	-1, -4, 0		-1	-1
15	15	1/2	I64	C	vi		I64	I		64				M	0	1	1, 0, 4		0	1
15	15	5/4	iv6	C	vi		iv6	iv		6				m	0	1	-4, 0, -1		-1	-4
16	16	0	iv7	C	vi		iv7	iv		7				mm7	0	1	-1, -4, 0, -3		-1	-1
16	16	1/2	V(4)	C	vi		V(4)	V			4			M	0	1	1, 0, 2		1	1
16	16	5/4	V(+4)	C	vi		V(+4)	V			+4			M	0	1	1, 5, 2	0	1	1
17	17	0	i	C	vi		i	i						m	0	1	0, -3, 1		0	0
17	17	1/2	i\\	C	vi		i	i					\\	m	0	1	0, -3, 1		0	0
18	18	1/4	VI	C	vi		VI	VI						M	0	1	-4, 0, -3		-4	-4
19	19	3/8	III6	C	vi		III6	III		6				M	0	1	1, -2, -3		-3	1
20	20	0	viio6(2)/III	C	vi		viio6(2)/III	vii	o	6	2	III		o	0	1	-1, -4, -3		2	-1
20	20	3/8	viio6/III	C	vi		viio6/III	vii	o	6		III		o	0	1	-1, -4, 2		2	-1
21	21	0	III\\	C	vi		III	III					\\	M	0	1	-3, 1, -2		-3	-3
22	22	0	V6/iv	C	vi		V6/iv	V		6		iv		M	0	1	4, 1, 0		0	4
23	23	0	iv	C	vi		iv	iv						m	0	1	-1, -4, 0		-1	-1
23	23	1/4	iio6	C	vi		iio6	ii	o	6				o	0	1	-1, -4, 2		2	-1
24	24	0	V	C	vi		V	V						M	0	1	1, 5, 2		1	1
24	24	3/8	iv7	C	vi		iv7	iv		7				mm7	0	1	-1, -4, 0, -3		-1	-1
25	25	0	V(4)	C	vi		V(4)	V			4			M	0	1	1, 0, 2		1	1
25	25	3/8	V	C	vi		V	V						M	0	1	1, 5, 2		1	1
26	26	0	i\\	C	vi		i	i					\\	m	0	1	0, -3, 1		0	0
