mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	4/4	5	1	g.i		g	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	4/4	5	1	VII(+2)		g	i		VII(+2)	VII			+2				M	1	1	-2, 2, -1	0	-2	-2
1	1	2	1.0	1/2	1/2	4/4	5	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
1	1	3	2.0	3/4	3/4	4/4	5	1	iio6		g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	5	1.0	1/4	1/4	4/4	5	1	iv7		g	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	6	4.0	1/2	1/2	4/4	5	1	V\\		g	i		V	V						\\	M	1	1	1, 5, 2		1	1
3	3	10	1.0	1/2	1/2	4/4	5	1	v.i		g	v		i	i							m	1	1	0, -3, 1		0	0
3	3	11	1.0	3/4	3/4	4/4	5	1	VII		g	v		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	4	12	1.0	0	0	4/4	5	1	VI		g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	13	2.0	1/4	1/4	4/4	5	1	ii6		g	v		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
4	4	15	1.0	3/4	3/4	4/4	5	1	iv7		g	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	5	16	4.5	0	0	4/4	5	1	V\\		g	v		V	V						\\	M	1	1	1, 5, 2		1	1
6	6	41/2	1.0	1/8	1/8	4/4	5	1	VII.I[I		g	VII	I	I	I							M	1	0	0, 4, 1		0	0
6	6	43/2	0.5	3/8	3/8	4/4	5	1	V]		g	VII	I	V	V							M	1	0	1, 5, 2		1	1
6	6	22	2.5	1/2	1/2	4/4	5	1	IV		g	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	49/2	0.5	1/8	1/8	4/4	5	1	V7		g	VII		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
7	7	25	2.0	1/4	1/4	4/4	5	1	vi		g	VII		vi	vi							m	1	0	3, 0, 4		3	3
7	7	27	1.0	3/4	3/4	4/4	5	1	viio6/V		g	VII		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
8	8	28	1.0	0	0	4/4	5	1	V(4)		g	VII		V(4)	V			4				M	1	0	1, 0, 2		1	1
8	8	29	1.0	1/4	1/4	4/4	5	1	V		g	VII		V	V							M	1	0	1, 5, 2		1	1
8	8	30	1.0	1/2	1/2	4/4	5	1	I\\		g	VII		I	I						\\	M	1	0	0, 4, 1		0	0
8	8	31	2.0	3/4	3/4	4/4	5	1	I		g	VII		I	I							M	1	0	0, 4, 1		0	0
9	9	33	1.5	1/4	1/4	4/4	5	1	vi6		g	VII		vi6	vi		6					m	1	0	0, 4, 3		3	0
9	9	69/2	0.5	5/8	5/8	4/4	5	1	V6		g	VII		V6	V		6					M	1	0	5, 2, 1		1	5
9	9	35	1.0	3/4	3/4	4/4	5	1	vi		g	VII		vi	vi							m	1	0	3, 0, 4		3	3
10	10	36	1.0	0	0	4/4	5	1	iii6		g	VII		iii6	iii		6					m	1	0	1, 5, 4		4	1
10	10	37	1.0	1/4	1/4	4/4	5	1	IV		g	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
10	10	38	1.0	1/2	1/2	4/4	5	1	vi64		g	VII		vi64	vi		64					m	1	0	4, 3, 0		3	4
