mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.g.i		g	i		i	i						m	1	1	0, -3, 1		0	0
2	2	1/4	V		g	i		V	V						M	1	1	1, 5, 2		1	1
2	2	1/2	i		g	i		i	i						m	1	1	0, -3, 1		0	0
3	3	0	V\\		g	i		V	V					\\	M	1	1	1, 5, 2		1	1
3	3	3/4	V		g	i		V	V						M	1	1	1, 5, 2		1	1
4	4	3/4	i		g	i		i	i						m	1	1	0, -3, 1		0	0
5	5	0	VII		g	i		VII	VII						M	1	1	-2, 2, -1		-2	-2
6	6	3/4	v6		g	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
7	7	0	i		g	i		i	i						m	1	1	0, -3, 1		0	0
8	8	0	V\\		g	i		V	V					\\	M	1	1	1, 5, 2		1	1
9	9	0	III.I		g	III		I	I						M	1	0	0, 4, 1		0	0
10	10	0	ii6		g	III		ii6	ii		6				m	1	0	-1, 3, 2		2	-1
10	10	1/4	IV		g	III		IV	IV						M	1	0	-1, 3, 0		-1	-1
10	10	1/2	V		g	III		V	V						M	1	0	1, 5, 2		1	1
11	11	0	I\\		g	III		I	I					\\	M	1	0	0, 4, 1		0	0
11	11	1/2	I		g	III		I	I						M	1	0	0, 4, 1		0	0
13	13	0	vi6		g	III		vi6	vi		6				m	1	0	0, 4, 3		3	0
13	13	1/2	vi		g	III		vi	vi						m	1	0	3, 0, 4		3	3
14	14	0	IV		g	III		IV	IV						M	1	0	-1, 3, 0		-1	-1
14	14	1/2	I6		g	III		I6	I		6				M	1	0	4, 1, 0		0	4
15	15	0	V(4)		g	III		V(4)	V			4			M	1	0	1, 0, 2		1	1
15	15	1/2	V		g	III		V	V						M	1	0	1, 5, 2		1	1
16	16	0	I\\		g	III		I	I					\\	M	1	0	0, 4, 1		0	0
17	17	0	i.III		g	i		III	III						M	1	1	-3, 1, -2		-3	-3
17	17	1/2	ii		g	i		ii	ii						m	1	1	2, -1, 3		2	2
18	18	0	i		g	i		i	i						m	1	1	0, -3, 1		0	0
19	19	0	VII		g	i		VII	VII						M	1	1	-2, 2, -1		-2	-2
20	20	1/2	VI		g	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
21	21	0	v		g	i		v	v						m	1	1	1, -2, 2		1	1
