mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	6.0	0	0	4/4	5	1	F.V		F	I		V	V							M	0	0	1, 5, 2		1	1
2	2	6	2.0	1/2	1/2	4/4	5	1	vi	IV6	F	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	8	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	14	1.5	1/2	1/2	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
4	4	31/2	0.5	7/8	7/8	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5	5	16	8.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	7	24	2.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
7	7	26	1.0	1/2	1/2	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	7	27	1.0	3/4	3/4	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
8	8	28	1.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	29	1.0	1/4	1/4	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	8	30	1.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
8	8	31	1.0	3/4	3/4	4/4	5	1	I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
9	9	32	1.0	0	0	4/4	5	1	bVII		F	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
9	9	33	1.0	1/4	1/4	4/4	5	1	bVII64		F	I		bVII64	bVII		64					M	0	0	-1, -2, 2		-2	-1
9	9	34	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
9	9	35	1.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	10	36	1.0	0	0	4/4	5	1	V6(4)		F	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
10	10	37	0.5	1/4	1/4	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	75/2	0.5	3/8	3/8	4/4	5	1	viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
10	10	38	1.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	10	39	1.0	3/4	3/4	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	11	40	1.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
11	11	41	1.0	1/4	1/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
11	11	42	1.0	1/2	1/2	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
11	11	43	1.0	3/4	3/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
12	12	44	1.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
12	12	45	5.0	1/4	1/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
13	13	50	2.0	1/2	1/2	4/4	5	1	ii	viio6	F	I		ii	ii							m	0	0	2, -1, 3		2	2
14	14	52	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
15	15	58	2.0	1/2	1/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
16	16	60	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
17	17	66	1.0	1/2	1/2	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	17	67	1.0	3/4	3/4	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
18	18	68	1.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	69	1.0	1/4	1/4	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
18	18	70	1.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
18	18	71	1.0	3/4	3/4	4/4	5	1	I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
19	19	72	2.0	0	0	4/4	5	1	bVII		F	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
19	19	74	1.0	1/2	1/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
19	19	75	1.0	3/4	3/4	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
20	20	76	1.0	0	0	4/4	5	1	V6(4)		F	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
20	20	77	1.0	1/4	1/4	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
20	20	78	1.0	1/2	1/2	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
20	20	79	1.0	3/4	3/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
21	21	80	4.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
22	22	84	2.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
22	22	86	1.0	1/2	1/2	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
22	22	87	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	23	88	2.0	0	0	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
23	23	90	1.0	1/2	1/2	4/4	5	1	V(4)/V		F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
23	23	91	1.0	3/4	3/4	4/4	5	1	V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
24	24	92	2.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
24	24	94	1.0	1/2	1/2	4/4	5	1	IV(9)		F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
24	24	95	1.0	3/4	3/4	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
25	25	96	1.0	0	0	4/4	5	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	97	1.0	1/4	1/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
25	25	98	2.0	1/2	1/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
26	26	100	3.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
26	26	103	1.0	3/4	3/4	4/4	5	1	IV.V		F	IV		V	V							M	0	0	1, 5, 2		1	1
27	27	104	1.0	0	0	4/4	5	1	V6		F	IV		V6	V		6					M	0	0	5, 2, 1		1	5
27	27	105	6.0	1/4	1/4	4/4	5	1	V		F	IV		V	V							M	0	0	1, 5, 2		1	1
28	28	111	0.5	3/4	3/4	4/4	5	1	iii6		F	IV		iii6	iii		6					m	0	0	1, 5, 4		4	1
28	28	223/2	0.5	7/8	7/8	4/4	5	1	V(64)		F	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1
29	29	112	1.0	0	0	4/4	5	1	V		F	IV		V	V							M	0	0	1, 5, 2		1	1
29	29	113	1.0	1/4	1/4	4/4	5	1	V(64)		F	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1
29	29	114	1.0	1/2	1/2	4/4	5	1	V(4)		F	IV		V(4)	V			4				M	0	0	1, 0, 2		1	1
29	29	115	1.0	3/4	3/4	4/4	5	1	V		F	IV		V	V							M	0	0	1, 5, 2		1	1
30	30	116	1.0	0	0	4/4	5	1	I\\		F	IV		I	I						\\	M	0	0	0, 4, 1		0	0
30	30	117	4.0	1/4	1/4	4/4	5	1	I.IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
31	31	121	2.0	1/4	1/4	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
31	31	123	1.0	3/4	3/4	4/4	5	1	IVM7		F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
32	32	124	1.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
32	32	125	1.0	1/4	1/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
32	32	126	2.0	1/2	1/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
33	33	128	1.0	0	0	4/4	5	1	V6\\		F	I		V6	V		6				\\	M	0	0	5, 2, 1		1	5
33	33	129	1.0	1/4	1/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
33	33	130	2.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
34	34	132	1.0	0	0	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
34	34	133	1.0	1/4	1/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
34	34	134	4.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
35	35	138	1.0	1/2	1/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
35	35	139	1.0	3/4	3/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
36	36	140	1.0	0	0	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
36	36	141	1.0	1/4	1/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
36	36	142	1.0	1/2	1/2	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
36	36	143	1.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
37	37	144	1.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
37	37	145	1.0	1/4	1/4	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
37	37	146	3.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
38	38	149	1.0	1/4	1/4	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
38	38	150	1.0	1/2	1/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
38	38	151	1.0	3/4	3/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
39	39	152	1.0	0	0	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
39	39	153	1.0	1/4	1/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
39	39	154	2.0	1/2	1/2	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
40	40	156	1.5	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
40	40	315/2	0.5	3/8	3/8	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
40	40	158	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
40	40	159	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
41	41	160	1.5	0	0	4/4	5	1	I[I		F	I	I	I	I							M	0	0	0, 4, 1		0	0
41	41	323/2	0.5	3/8	3/8	4/4	5	1	V]		F	I	I	V	V							M	0	0	1, 5, 2		1	1
41	41	162	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
41	41	163	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
42	42	164	1.5	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
42	42	331/2	0.5	3/8	3/8	4/4	5	1	V6(+4)		F	I		V6(+4)	V		6	+4				M	0	0	5, 2, 1	0	1	5
42	42	166	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
42	42	167	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	43	168	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
44	44	174	1.0	1/2	1/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
44	44	175	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
45	45	176	5.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
46	46	181	1.0	1/4	1/4	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
46	46	182	2.0	1/2	1/2	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	47	184	4.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
48	48	188	1.0	0	0	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
48	48	189	1.0	1/4	1/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
48	48	190	1.0	1/2	1/2	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
48	48	191	1.0	3/4	3/4	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
49	49	192	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
50	50	198	0.5	1/2	1/2	4/4	5	1	I(+4)		F	I		I(+4)	I			+4				M	0	0	0, 4, 1	-1	0	0
50	50	397/2	0.5	5/8	5/8	4/4	5	1	V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
50	50	199	1.0	3/4	3/4	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	200	1.0	0	0	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
51	51	201	1.0	1/4	1/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
51	51	202	1.0	1/2	1/2	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
51	51	203	1.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
52	52	204	1.0	0	0	4/4	5	1	IV6(2)		F	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
52	52	205	1.0	1/4	1/4	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
52	52	206	1.0	1/2	1/2	4/4	5	1	I(4)		F	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
52	52	207	3.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
53	53	210	1.0	1/2	1/2	4/4	5	1	v6		F	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
53	53	211	0.5	3/4	3/4	4/4	5	1	bVII		F	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
53	53	423/2	0.5	7/8	7/8	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
54	54	212	1.0	0	0	4/4	5	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	54	213	1.0	1/4	1/4	4/4	5	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
54	54	214	1.0	1/2	1/2	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
54	54	215	1.0	3/4	3/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
55	55	216	1.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
55	55	217	2.0	1/4	1/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
55	55	219	1.0	3/4	3/4	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	56	220	1.0	0	0	4/4	5	1	I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
56	56	221	1.0	1/4	1/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
56	56	222	1.0	1/2	1/2	4/4	5	1	ii	viio6	F	I		ii	ii							m	0	0	2, -1, 3		2	2
56	56	223	2.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
57	57	225	2.0	1/4	1/4	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
57	57	227	1.0	3/4	3/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
58	58	228	1.0	0	0	4/4	5	1	IV.IV		F	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
58	58	229	1.0	1/4	1/4	4/4	5	1	I6		F	IV		I6	I		6					M	0	0	4, 1, 0		0	4
58	58	230	1.0	1/2	1/2	4/4	5	1	viio6(2)		F	IV		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
58	58	231	1.0	3/4	3/4	4/4	5	1	V		F	IV		V	V							M	0	0	1, 5, 2		1	1
59	59	232	1.0	0	0	4/4	5	1	I6\\		F	IV		I6	I		6				\\	M	0	0	4, 1, 0		0	4
59	59	233	1.0	1/4	1/4	4/4	5	1	I.IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
59	59	234	2.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
60	60	236	1.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
60	60	237	1.0	1/4	1/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
60	60	238	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
60	60	239	1.0	3/4	3/4	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
61	61	240	1.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
61	61	241	2.0	1/4	1/4	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
61	61	243	1.0	3/4	3/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
62	62	244	1.0	0	0	4/4	5	1	I6\\		F	I		I6	I		6				\\	M	0	0	4, 1, 0		0	4
62	62	245	1.0	1/4	1/4	4/4	5	1	V.IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
62	62	246	2.0	1/2	1/2	4/4	5	1	I		F	V		I	I							M	0	0	0, 4, 1		0	0
63	63	248	1.0	0	0	4/4	5	1	ii		F	V		ii	ii							m	0	0	2, -1, 3		2	2
63	63	249	1.0	1/4	1/4	4/4	5	1	IV		F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
63	63	250	1.0	1/2	1/2	4/4	5	1	vi		F	V		vi	vi							m	0	0	3, 0, 4		3	3
63	63	251	1.0	3/4	3/4	4/4	5	1	vi6		F	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
64	64	252	1.0	0	0	4/4	5	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
64	64	253	2.0	1/4	1/4	4/4	5	1	V(4)		F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
64	64	255	1.0	3/4	3/4	4/4	5	1	V		F	V		V	V							M	0	0	1, 5, 2		1	1
65	65	256	1.0	0	0	4/4	5	1	I6\\		F	V		I6	I		6				\\	M	0	0	4, 1, 0		0	4
65	65	257	1.0	1/4	1/4	4/4	5	1	I.V		F	I		V	V							M	0	0	1, 5, 2		1	1
65	65	258	1.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
65	65	259	1.0	3/4	3/4	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
66	66	260	1.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
66	66	261	1.0	1/4	1/4	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
66	66	262	1.0	1/2	1/2	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
66	66	263	1.0	3/4	3/4	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
67	67	264	1.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
67	67	265	0.5	1/4	1/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
67	67	531/2	0.5	3/8	3/8	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
67	67	266	1.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
67	67	267	1.0	3/4	3/4	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
68	68	268	3.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
68	68	271	1.0	3/4	3/4	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
69	69	272	3.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
69	69	275	1.0	3/4	3/4	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
70	70	276	2.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
70	70	278	1.0	1/2	1/2	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
70	70	279	1.0	3/4	3/4	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
71	71	280	4.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
72	72	284	4.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
73	73	288	4.0	0	0	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
74	74	292	3.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
74	74	295	1.0	3/4	3/4	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
75	75	296	4.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
76	76	300	4.0	0	0	4/4	5	1	bVII		F	I		bVII	bVII							M	0	0	-2, 2, -1		-2	-2
77	77	304	3.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
77	77	307	1.0	3/4	3/4	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
78	78	308	4.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
79	79	312	4.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
80	80	316	4.0	0	0	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
81	81	320	3.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
81	81	323	1.0	3/4	3/4	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
82	82	324	2.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
82	82	326	2.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
83	83	328	2.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
