mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	3/4	.C.I		C	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	1	1/4	vi(2)		C	I		vi(2)	vi			2			m	0	0	5, 0, 4		3.0	5.0
2	1	1/2	vi		C	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
2	1	7/8	V(+4)		C	I		V(+4)	V			+4			M	0	0	1, 5, 2	0	1.0	1.0
3	2	0	IV		C	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
3	2	1/4	I6		C	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
3	2	1/2	V(4)		C	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
3	2	7/8	V		C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
4	3	0	I\\		C	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
4	3	3/4	I		C	I		I	I						M	0	0	0, 4, 1		0.0	0.0
5	4	1/4	V6		C	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
5	4	1/2	vi		C	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
5	4	3/4	IV6		C	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
5	4	7/8	I64		C	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
6	5	0	IV		C	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
6	5	1/2	I6		C	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
7	6	0	V(4)		C	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
7	6	3/4	V		C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
8	7	0	I\\		C	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
9	8	1/8	I		C	I		I	I						M	0	0	0, 4, 1		0.0	0.0
9	8	3/8	vii6		C	I		vii6	vii		6				m	0	0	2, 6, 5		5.0	2.0
9	8	1/2	iii		C	I		iii	iii						m	0	0	4, 1, 5		4.0	4.0
9	8	7/8	IV		C	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
10	9	0	V		C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
10	9	3/8	I6		C	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
10	9	1/2	IV		C	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
10	9	7/8	vi.V		C	vi		V	V						M	0	1	1, 5, 2		1.0	1.0
11	10	0	iv(#42)		C	vi		iv(#42)	iv			#42			m	0	1	1, -4, 5		-1.0	1.0
11	10	3/4	iv(+#3)		C	vi		iv(+#3)	iv			+#3			m	0	1	-1, -4, 0	3	-1.0	-1.0
12	11	0	V\\		C	vi		V	V					\\	M	0	1	1, 5, 2		1.0	1.0
13	12	0	i		C	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
13	12	1/4	VII	v6	C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
13	12	1/2	VI		C	vi		VI	VI						M	0	1	-4, 0, -3		-4.0	-4.0
14	13	1/4	#viio6/iv		C	vi		#viio6/iv	#vii	o	6		iv		o	0	1	1, -2, 4		4.0	1.0
14	13	1/2	iv		C	vi		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
15	14	3/4	I6		C	vi		I6	I		6				M	0	1	4, 1, 0		0.0	4.0
16	15	0	V(4)		C	vi		V(4)	V			4			M	0	1	1, 0, 2		1.0	1.0
16	15	3/4	V		C	vi		V	V						M	0	1	1, 5, 2		1.0	1.0
17	16	0	i\\		C	vi		i	i					\\	m	0	1	0, -3, 1		0.0	0.0
18	17	0	i		C	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
18	17	1/4	iv		C	vi		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
18	17	1/2	VII		C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
18	17	3/4	III		C	vi		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
19	18	0	VI		C	vi		VI	VI						M	0	1	-4, 0, -3		-4.0	-4.0
19	18	1/4	ii		C	vi		ii	ii						m	0	1	2, -1, 3		2.0	2.0
19	18	1/2	v		C	vi		v	v						m	0	1	1, -2, 2		1.0	1.0
19	18	3/4	I		C	vi		I	I						M	0	1	0, 4, 1		0.0	0.0
20	19	0	IV		C	vi		IV	IV						M	0	1	-1, 3, 0		-1.0	-1.0
20	19	1/4	VII		C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
20	19	1/2	III		C	vi		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
20	19	3/4	VI		C	vi		VI	VI						M	0	1	-4, 0, -3		-4.0	-4.0
21	20	0	.bII		C	vi										0	1				
21	20	1/4	vo6		C	vi		vo6	v	o	6				o	0	1	-2, -5, 1		1.0	-2.0
21	20	1/2	i		C	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
21	20	3/4	iv		C	vi		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
22	21	0	VII		C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
22	21	1/4	III		C	vi		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
22	21	1/2	i		C	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
22	21	3/4	IV		C	vi		IV	IV						M	0	1	-1, 3, 0		-1.0	-1.0
23	22	0	VII		C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
23	22	1/4	III		C	vi		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
23	22	1/2	i		C	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
24	23	0	iv		C	vi		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
24	23	1/4	VII		C	vi		VII	VII						M	0	1	-2, 2, -1		-2.0	-2.0
24	23	1/2	v6		C	vi		v6	v		6				m	0	1	-2, 2, 1		1.0	-2.0
24	23	3/4	v		C	vi		v	v						m	0	1	1, -2, 2		1.0	1.0
25	24	0	III		C	vi		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
25	24	1/4	i65		C	vi		i65	i		65				mm7	0	1	-3, 1, -2, 0		0.0	-3.0
25	24	1/2	V(4)/VII		C	vi		V(4)/VII	V			4	VII		M	0	1	-1, -2, 0		-1.0	-1.0
25	24	3/4	V/VII		C	vi		V/VII	V				VII		M	0	1	-1, 3, 0		-1.0	-1.0
26	25	0	ii7		C	vi		ii7	ii		7				mm7	0	1	2, -1, 3, 0		2.0	2.0
