mc	mn	onset	label
1	1	0	.d.i
5	5	0	VIM7
5	5	1/4	iv6
6	6	0	v[v
6	6	1/4	i6
6	6	1/2	V7
6	6	3/4	i6
7	7	0	I
7	7	1/4	V7
7	7	1/2	V
7	7	3/4	V(64)
8	8	1/2	V]
9	9	0	i[i\\
9	9	1/4	iv.i6
9	9	1/2	V7
9	9	3/4	i6
10	10	0	I
10	10	1/4	V7
10	10	1/2	V
10	10	3/4	V(64)]
11	11	0	i
11	11	1/2	#viio-V6
12	12	0	i\\
13	13	1/4	VI.vi
14	14	0	IV
14	14	1/4	ii
14	14	1/2	I
14	14	7/8	ii
15	15	0	I6
15	15	1/4	ii65
15	15	1/2	V
16	16	0	I\\
16	16	1/4	I
16	16	3/4	vi6
17	17	0	I
17	17	1/4	V6
17	17	1/2	V
18	18	0	VII.vi
18	18	1/2	V(b6)
18	18	3/4	V(b64)
19	19	0	V(4)
19	19	1/4	V
19	19	1/2	I\\
20	20	0	iv.i
20	20	1/2	V
20	20	3/4	V(64)
21	21	0	V
21	21	1/2	i\\
22	22	1/4	III.vi
23	23	0	IV
23	23	1/4	ii
23	23	1/2	I
24	24	0	I6
24	24	1/4	ii6
24	24	1/2	V
25	25	0	I\\
25	25	1/2	I
26	26	1/2	V
27	27	0	iv.VI-iv6
27	27	1/2	V(4)
27	27	3/4	V
28	28	0	i\\
28	28	1/2	i.i
29	29	0	V
29	29	1/2	V(4)
30	30	1/2	V
31	31	0	i\\
31	31	1/4	i
32	32	0	III.I
32	32	3/4	V6
33	33	0	V
33	33	1/4	V(64)
33	33	1/2	V(4)
33	33	3/4	V
34	34	0	I\\
34	34	1/4	VI.V
34	34	1/2	I
35	35	1/2	V(64)
36	36	0	V
36	36	1/2	I\\
37	37	0	iv.III
38	38	0	i
38	38	1/2	VI-iv6
39	39	0	V(4)
39	39	1/2	V
40	40	0	i\\
40	40	1/2	i.iv
41	41	1/2	iv6
42	42	0	V(64)
43	43	0	V(4)
43	43	1/2	V
44	44	0	I\\
44	44	3/4	VI.V/vi
45	45	3/4	vi
46	46	0	V
46	46	1/2	I
46	46	3/4	IV
47	47	0	V
47	47	1/2	I\\
47	47	3/4	i.VI6
48	48	0	III
48	48	3/4	i6
49	49	0	VII(94)
49	49	1/4	v65
49	49	1/2	I
52	52	0	iv[I
52	52	1/2	iio6]
53	53	0	I\\
53	53	1/4	iv.V
54	54	1/4	I
55	55	0	iv[I
55	55	1/2	iio6]
56	56	0	i[I\\
56	56	1/4	V
56	56	1/2	i
56	56	3/4	V7
57	57	0	i
57	57	3/4	III6
58	58	0	VII.V(b64)]
59	59	0	viio
59	59	1/4	i
59	59	1/2	viio(2)
59	59	3/4	viio
60	60	0	I\\
60	60	1/4	I
61	61	1/2	i.iv6
62	62	0	v[v7
62	62	1/2	IIIM7
63	63	0	v
63	63	1/2	ii
64	64	0	V
64	64	3/4	V7
66	66	0	V
66	66	1/2	i
66	66	3/4	V7
67	67	0	V(64)
68	68	0	V
68	68	1/4	V(4)
68	68	3/4	V]
69	69	0	i[i
69	69	1/4	I
69	69	1/2	IV
69	69	3/4	V7/iv
70	70	0	iv
70	70	1/4	I(6)]
70	70	3/4	I6(+6)
71	71	0	iv[iv
72	72	1/2	ii%65
73	73	0	iv
73	73	1/4	I
73	73	1/2	iio6]
74	74	0	I\\
