mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	4/4	5	1	F.I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	2	12	12	2.0	1	1	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
2	2	14	14	2.0	3/2	3/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	3	16	16	10.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	26	26	2.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
4	4	28	28	2.0	1	1	4/4	5	1	IVM65		F	I		IVM65	IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
4	4	30	30	2.0	3/2	3/2	4/4	5	1	vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
5	5	32	32	8.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
6	6	40	40	2.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
6	6	42	42	2.0	1/2	1/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	44	44	14.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
8	8	58	58	2.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
8	8	60	60	2.0	1	1	4/4	5	1	IVM7		F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
8	8	62	62	2.0	3/2	3/2	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	64	64	4.0	0	0	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
9	9	68	68	2.0	1	1	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	70	70	2.0	3/2	3/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	72	72	4.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
10	10	76	76	2.0	1	1	4/4	5	1	iii6		F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
10	10	78	78	2.0	3/2	3/2	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
11	11	80	80	4.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	11	84	84	4.0	1	1	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
12	12	88	88	2.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
12	12	90	90	8.0	1/2	1/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
13	13	98	98	4.0	1/2	1/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
13	13	102	102	2.0	3/2	3/2	4/4	5	1	vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
14	14	104	104	12.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
15	15	116	116	2.0	1	1	4/4	5	1	V(4)/V		F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
15	15	118	118	2.0	3/2	3/2	4/4	5	1	V/V		F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
16	16	120	120	12.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
17	17	132	132	2.0	1	1	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	134	134	2.0	3/2	3/2	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	136	136	2.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
18	18	138	138	2.0	1/2	1/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
18	18	140	140	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
19	19	144	144	4.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
19	19	148	148	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
20	20	152	152	2.0	0	0	4/4	5	1	IVM65		F	I		IVM65	IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
20	20	154	154	2.0	1/2	1/2	4/4	5	1	vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
20	20	156	156	8.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
21	21	164	164	2.0	1	1	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
21	21	166	166	2.0	3/2	3/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
22	22	168	168	8.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
23	23	176	176	4.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
23	23	180	180	4.0	1	1	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
24	24	184	184	2.0	0	0	4/4	5	1	vi6		F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
24	24	186	186	2.0	1/2	1/2	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
24	24	188	188	3.0	1	1	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
24	24	191	191	1.0	7/4	7/4	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
25	25	192	192	2.0	0	0	4/4	5	1	vi[I6		F	I	vi	I6	I		6					M	0	0	4, 1, 0		0	4
25	25	194	194	1.0	1/2	1/2	4/4	5	1	viio6		F	I	vi	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
25	25	195	195	1.0	3/4	3/4	4/4	5	1	vi6]		F	I	vi	vi6	vi		6					m	0	0	0, 4, 3		3	0
25	25	196	196	4.0	1	1	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
26	26	200	200	2.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
26	26	202	202	4.0	1/2	1/2	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	26	206	206	2.0	3/2	3/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
27	27	208	208	4.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	27	212	212	2.0	1	1	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
27	27	214	214	2.0	3/2	3/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
28	28	216	216	4.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
28	28	220	220	8.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
29	29	228	228	4.0	1	1	4/4	5	1	V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
30	30	232	232	4.0	0	0	4/4	5	1	IV6(2)		F	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
30	30	236	236	4.0	1	1	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
31	31	240	240	4.0	0	0	4/4	5	1	iii6		F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
31	31	244	244	4.0	1	1	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	248	248	2.0	0	0	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
32	32	250	250	4.0	1/2	1/2	4/4	5	1	ii6(2)		F	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
32	32	254	254	2.0	3/2	3/2	4/4	5	1	vii%43		F	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
33	33	256	256	4.0	0	0	4/4	5	1	vi64	I6(6)	F	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
33	33	260	260	2.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
33	33	262	262	2.0	3/2	3/2	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
34	34	264	264	2.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
34	34	266	266	2.0	1/2	1/2	4/4	5	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	268	268	2.0	1	1	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	34	270	270	2.0	3/2	3/2	4/4	5	1	vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
35	35	272	272	4.0	0	0	4/4	5	1	vi6	I(6)	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
35	35	276	276	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
36	36	280	280	4.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
36	36	284	284	4.0	1	1	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
37	37	288	288	4.0	0	0	4/4	5	1	vi6	I(6)	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
37	37	292	292	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
38	38	296	296	4.0	0	0	4/4	5	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
38	38	300	300	4.0	1	1	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
39	39	304	304	4.0	0	0	4/4	5	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
39	39	308	308	4.0	1	1	4/4	5	1	iii6		F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
40	40	312	312	4.0	0	0	4/4	5	1	ii6(2)		F	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
40	40	316	316	4.0	1	1	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
41	41	320	320	4.0	0	0	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
41	41	324	324	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
42	42	328	328	6.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
42	42	334	334	2.0	3/2	3/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
43	43	336	336	8.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
44	44	344	344	6.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
44	44	350	350	2.0	3/2	3/2	4/4	5	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
45	45	352	352	6.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
45	45	358	358	2.0	3/2	3/2	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
46	46	360	360	2.0	0	0	4/4	5	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
46	46	362	362	2.0	1/2	1/2	4/4	5	1	iii6		F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
46	46	364	364	2.0	1	1	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
46	46	366	366	2.0	3/2	3/2	4/4	5	1	viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
47	47	368	368	8.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
48	48	376	376	8.0	0	0	4/4	5	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
49	49	384	384	6.0	0	0	4/4	5	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
49	49	390	390	2.0	3/2	3/2	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
50	50	392	392	2.0	0	0	4/4	5	1	viio(2)		F	I		viio(2)	vii	o		2				o	0	0	0, 2, -1		5	0
50	50	394	394	2.0	1/2	1/2	4/4	5	1	viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
50	50	396	396	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
51	51	400	400	2.0	0	0	4/4	5	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
51	51	402	402	2.0	1/2	1/2	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
51	51	404	404	2.0	1	1	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	406	406	2.0	3/2	3/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
52	52	408	408	2.0	0	0	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
52	52	410	410	2.0	1/2	1/2	4/4	5	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
52	52	412	412	2.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
52	52	414	414	2.0	3/2	3/2	4/4	5	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
53	53	416	416	2.0	0	0	4/4	5	1	iii6		F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
53	53	418	418	2.0	1/2	1/2	4/4	5	1	iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
53	53	420	420	4.0	1	1	4/4	5	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
54	54	424	424	4.0	0	0	4/4	5	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
54	54	428	428	2.0	1	1	4/4	5	1	vi7		F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
