mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	5	1	d.VI	iv6	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	4	4.0	0	0	4/4	5	1	#vi	IV6	d	i		#vi	#vi							m	1	1	3, 0, 4		3	3
3	3	8	4.0	0	0	4/4	5	1	VII	v6	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	4	12	4.0	0	0	4/4	5	1	#viio	V6	d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
5	5	16	1.0	0	0	4/4	5	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	17	1.0	1/4	1/4	4/4	5	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	18	2.0	1/2	1/2	4/4	5	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	20	4.0	0	0	4/4	5	1	#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
7	7	24	4.0	0	0	4/4	5	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	28	4.0	0	0	4/4	5	1	II	V/v	d	i		II	II							M	1	1	2, 6, 3		2	2
9	9	32	1.0	0	0	4/4	5	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	33	3.0	1/4	1/4	4/4	5	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
10	10	36	3.0	0	0	4/4	5	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
10	10	39	1.0	3/4	3/4	4/4	5	1	#viio64		d	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
11	11	40	1.0	0	0	4/4	5	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	41	1.0	1/4	1/4	4/4	5	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	42	2.0	1/2	1/2	4/4	5	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
12	12	44	2.0	0	0	4/4	5	1	III	i6	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
12	12	46	2.0	1/2	1/2	4/4	5	1	V\\		d	i		V	V						\\	M	1	1	1, 5, 2		1	1
13	13	48	4.0	0	0	4/4	5	1	iv.I		d	iv		I	I							M	1	1	0, 4, 1		0	0
14	14	52	4.0	0	0	4/4	5	1	IV		d	iv		IV	IV							M	1	1	-1, 3, 0		-1	-1
15	15	56	1.0	0	0	4/4	5	1	ii		d	iv		ii	ii							m	1	1	2, -1, 3		2	2
15	15	57	1.0	1/4	1/4	4/4	5	1	VII6		d	iv		VII6	VII		6					M	1	1	2, -1, -2		-2	2
15	15	58	2.0	1/2	1/2	4/4	5	1	v		d	iv		v	v							m	1	1	1, -2, 2		1	1
16	16	60	2.0	0	0	4/4	5	1	ii6		d	iv		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
16	16	62	2.0	1/2	1/2	4/4	5	1	IV6		d	iv		IV6	IV		6					M	1	1	3, 0, -1		-1	3
17	17	64	1.0	0	0	4/4	5	1	v		d	iv		v	v							m	1	1	1, -2, 2		1	1
17	17	65	4.0	1/4	1/4	4/4	5	1	V		d	iv		V	V							M	1	1	1, 5, 2		1	1
18	18	69	2.0	1/4	1/4	4/4	5	1	V(4)		d	iv		V(4)	V			4				M	1	1	1, 0, 2		1	1
18	18	71	1.0	3/4	3/4	4/4	5	1	V		d	iv		V	V							M	1	1	1, 5, 2		1	1
19	19	72	1.0	0	0	4/4	5	1	i\\		d	iv		i	i						\\	m	1	1	0, -3, 1		0	0
19	19	73	3.0	1/4	1/4	4/4	5	1	i.iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
20	20	76	1.0	0	0	4/4	5	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
20	20	77	3.0	1/4	1/4	4/4	5	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
21	21	80	4.0	0	0	4/4	5	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
22	22	84	4.0	0	0	4/4	5	1	#iii		d	i		#iii	#iii							m	1	1	4, 1, 5		4	4
23	23	88	2.0	0	0	4/4	5	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
23	23	90	1.0	1/2	1/2	4/4	5	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	23	91	1.0	3/4	3/4	4/4	5	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
24	24	92	1.0	0	0	4/4	5	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	93	1.0	1/4	1/4	4/4	5	1	V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
24	24	94	1.0	1/2	1/2	4/4	5	1	V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
24	24	95	1.0	3/4	3/4	4/4	5	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
25	25	96	2.0	0	0	4/4	5	1	i\\		d	i		i	i						\\	m	1	1	0, -3, 1		0	0
25	25	98	2.0	1/2	1/2	4/4	5	1	v.iv		d	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
26	26	100	1.0	0	0	4/4	5	1	IV		d	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
26	26	101	3.0	1/4	1/4	4/4	5	1	ii		d	v		ii	ii							m	1	1	2, -1, 3		2	2
27	27	104	4.0	0	0	4/4	5	1	v		d	v		v	v							m	1	1	1, -2, 2		1	1
28	28	108	5.0	0	0	4/4	5	1	#iii		d	v		#iii	#iii							m	1	1	4, 1, 5		4	4
29	29	113	1.0	1/4	1/4	4/4	5	1	I6		d	v		I6	I		6					M	1	1	4, 1, 0		0	4
29	29	114	2.0	1/2	1/2	4/4	5	1	IV		d	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
30	30	116	1.0	0	0	4/4	5	1	V7		d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	30	117	1.0	1/4	1/4	4/4	5	1	V(64)		d	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
30	30	118	1.0	1/2	1/2	4/4	5	1	V(4)		d	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
30	30	119	1.0	3/4	3/4	4/4	5	1	V		d	v		V	V							M	1	1	1, 5, 2		1	1
31	31	120	1.0	0	0	4/4	5	1	i\\		d	v		i	i						\\	m	1	1	0, -3, 1		0	0
31	31	121	7.0	1/4	1/4	4/4	5	1	i		d	v		i	i							m	1	1	0, -3, 1		0	0
33	33	128	2.0	0	0	4/4	5	1	vii6(2)		d	v		vii6(2)	vii		6	2				m	1	1	-5, -1, 0		-2	-5
33	33	130	2.0	1/2	1/2	4/4	5	1	vii6		d	v		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
34	34	132	4.0	0	0	4/4	5	1	VII6		d	v		VII6	VII		6					M	1	1	2, -1, -2		-2	2
35	35	136	2.0	0	0	4/4	5	1	III		d	v		III	III							M	1	1	-3, 1, -2		-3	-3
35	35	138	2.0	1/2	1/2	4/4	5	1	i6		d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
36	36	140	4.0	0	0	4/4	5	1	I6		d	v		I6	I		6					M	1	1	4, 1, 0		0	4
37	37	144	2.0	0	0	4/4	5	1	i6		d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
37	37	146	2.0	1/2	1/2	4/4	5	1	iv		d	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
38	38	148	2.0	0	0	4/4	5	1	i6(+4)		d	v		i6(+4)	i		6	+4				m	1	1	-3, 1, 0	-1	0	-3
38	38	150	2.0	1/2	1/2	4/4	5	1	i		d	v		i	i							m	1	1	0, -3, 1		0	0
