mc	mn	onset	label
1	1	1/4	.g.I
1	1	1/2	iv
2	2	0	III\\
3	3	1/4	III
3	3	1/2	VI
4	4	0	v
5	5	0	vii%7/IV
5	5	1/4	V6/IV
5	5	1/2	IV\\
6	6	0	v.III
6	6	1/2	i
7	7	0	VII(6+4)
7	7	1/4	VII
8	8	0	i
9	9	0	III-i6
9	9	1/2	V
9	9	3/4	V(64)
10	10	0	V(4)
10	10	1/4	V
10	10	1/2	I\\
11	11	1/8	i.v
12	12	0	i
12	12	1/2	V
13	13	0	i\\
13	13	5/8	IV.V
14	14	1/2	i
15	15	0	V
15	15	1/2	I\\
16	16	1/8	i.VII
17	17	0	iv6
17	17	1/2	V7
17	17	3/4	V(64)
18	18	0	V(4)
18	18	1/4	V
18	18	1/2	i\\
19	19	1/4	I
20	20	1/4	IV
20	20	1/2	III
22	22	0	i
22	22	1/4	iv6
22	22	1/2	V(4)
22	22	3/4	V
23	23	0	I\\
23	23	3/4	I
25	25	0	v
25	25	1/2	I
26	26	0	iv[iv
26	26	1/2	I
26	26	3/4	iio65]
27	27	0	I\\
27	27	3/4	I
28	28	1/2	v
29	29	0	ii
29	29	1/2	III6
30	30	0	i
31	31	0	V\\
32	32	0	v
32	32	1/4	i6
32	32	3/4	VII6
33	33	1/4	VI6
33	33	1/2	i
33	33	3/4	v6
34	34	1/4	iv6
34	34	1/2	v\\
35	35	1/4	v
36	36	1/4	ii
36	36	1/2	VI
37	37	0	III
37	37	1/2	i(94)
38	38	1/4	i
38	38	1/2	V\\
40	40	1/4	V
41	41	1/4	i
41	41	1/2	IV.IV
41	41	3/4	vi-IV6
42	42	0	V(4)
42	42	1/4	V
42	42	1/2	I\\
43	43	0	i.VII
43	43	1/4	v6
43	43	1/2	VIM7
43	43	3/4	VI
44	44	1/2	V
45	45	0	i\\
45	45	3/4	I
46	46	3/4	VII.V
47	47	0	IV
47	47	1/4	vi
47	47	1/2	V(4)
47	47	3/4	V
48	48	0	I\\
48	48	1/2	v.VII
48	48	3/4	v6
49	49	0	VIM7
49	49	1/4	VI
49	49	3/4	iv6
50	50	0	V
50	50	1/2	i\\
51	51	0	i.VII
51	51	1/4	v6
51	51	1/2	VIM7
51	51	3/4	VI
52	52	1/4	iv6
52	52	1/2	V
53	53	0	I\\
