mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	8	8	16.0	2	2	3/1	4	1	a.i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	24	24	4.0	0	0	3/1	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	28	28	8.0	1	1	3/1	4	1	v	a	i		v	v							m	1	1	1, -2, 2		1	1
4	4	36	36	12.0	0	0	3/1	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
5	5	48	48	4.0	0	0	3/1	4	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	5	52	52	8.0	1	1	3/1	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	6	60	60	12.0	0	0	3/1	4	1	III.IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	72	72	4.0	0	0	3/1	4	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
7	7	76	76	8.0	1	1	3/1	4	1	IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
8	8	84	84	12.0	0	0	3/1	4	1	ii	a	III		ii	ii							m	1	0	2, -1, 3		2	2
9	9	96	96	4.0	0	0	3/1	4	1	vi	a	III		vi	vi							m	1	0	3, 0, 4		3	3
9	9	100	100	8.0	1	1	3/1	4	1	ii6	a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
10	10	108	108	12.0	0	0	3/1	4	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
11	11	120	120	12.0	0	0	3/1	4	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
12	12	132	132	4.0	0	0	3/1	4	1	vi6	a	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
12	12	136	136	8.0	1	1	3/1	4	1	V\\	a	III		V	V						\\	M	1	0	1, 5, 2		1	1
13	13	144	144	16.0	0	0	3/1	4	1	vi	a	III		vi	vi							m	1	0	3, 0, 4		3	3
14	14	160	160	8.0	1	1	3/1	4	1	iii\\	a	III		iii	iii						\\	m	1	0	4, 1, 5		4	4
15	15	168	168	12.0	0	0	3/1	4	1	IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
16	16	180	180	4.0	0	0	3/1	4	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
16	16	184	184	4.0	1	1	3/1	4	1	viio6(2)	a	III		viio6(2)	vii	o	6	2				o	1	0	2, -1, 0		5	2
