mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	0	0	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	0
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	1
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	2
1	1	0	0	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	3
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	4
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	5
1	1	0	0	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	6
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	7
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	8
1	1	0	0	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	9
1	1	3	3	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	10
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	11
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	13
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	14
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	15
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	16
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	18
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	20
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	21
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	22
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	23
2	2	4	4	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	24
2	2	6	6	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	25
2	2	7	7	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	26
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	27
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	28
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	29
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	30
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	31
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	32
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	33
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	34
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	35
3	3	8	8	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	36
