mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	slur
6	6	20	20	4.0	0	0	Chord	4/4	5	1	1	1	1	44			
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	45	A		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	46	l'au-		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47	A		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	48	l'au-		
7	7	24	24	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	49	-de		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	50	A		
7	7	26	26	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	51	l'au-		0
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	52			0
7	7	27	27	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	53			0
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	54			0
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	55			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	56	ra		
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	57			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58	ra		
8	8	28	28	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	59			0
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	60			0
8	8	29	29	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	61			0
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	62			0
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	63			
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	64	ra		
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	65	mat-		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	66	-tu-		
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	67	mat-		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	68	-tu-		
9	9	32	32	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	69	mat-		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	70	-tu-		
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	71	-ti-		1
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	72			1
9	9	35	35	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	73			1
10	10	36	36	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	74	-ti-		
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	75	-na  e		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	76	gl'ar-		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	77	-bor-		
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	78	-ti-		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	79	-na  e		
10	10	36	36	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	80			
10	10	37	37	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	81	na  e		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	82	gl'ar-		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	83	-bor-		
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	84	-sel-		2
11	11	41	41	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	85			2
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	86			
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	87	gl'ar-		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	88	-bor-		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	89	-sel-		
11	11	40	40	4.0	0	0	Chord	4/4	4	1	1	1	1	90	-sel-		
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1	1	1	91	li.		
12	12	44	44	4.0	0	0	Chord	4/4	2	1	1	1	1	92	-li.		
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	93	Ec-		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	94	-co		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	95	mor-		
12	12	44	44	4.0	0	0	Chord	4/4	4	1	1	1	1	96	-li.		
12	12	44	44	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	97	Ec-		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	98	-co		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	99	mor-		
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	100			
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	101			
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	102	mo-		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	103	-rar		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	104	l'on-		
13	13	48	48	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	105			
13	13	48	48	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	106			
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	107	mo-		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	108	-rar		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	109	l'on-		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	110	Ec-		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	111	-co		
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	112	mor-		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	113	Ec-		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	114	-co		
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	115	mor-		
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	116	-de, 		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	117	ec-		
14	14	52	52	4.0	0	0	Chord	4/4	5	1	1	1	1	118	-de		
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	119			
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	120	mo-		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	121	-rar		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	122	l'on-		
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	123			
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	124	mo-		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	125	-rar		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	126	l'on-		
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	127			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	128	co,		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	129	E		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	130	tre-		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	131	-mo-		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	132	-lar		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	133	le		
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	134	-de,		
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	135	E		
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	136	trem-		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	137	-o-		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	138	-lar		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	139	le		
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	140	-de,		
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	141	E		
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	142	tre-		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	143	-mo-		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	144	-lar		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	145	le		
16	16	60	60	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	146	Ec-		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	147	-co		
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	148	mor-		
16	16	60	60	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	149	Ec-		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	150	-co		
16	16	63	63	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	151	mor-		
16	16	60	60	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	152	fron-		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	153	-de		
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	154	fron-		
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	155	-de		
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	156	fron-		
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	157	-de		
17	17	64	64	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	158			
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	159	mo-		
17	17	65	65	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	160	-rar		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	161	l'on-		
17	17	64	64	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	162			
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	163	mo-		
17	17	65	65	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	164	-rar		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	165	l'on-		
17	17	64	64	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	166			
17	17	65	65	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	167	A		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	168	l'au-		3
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	169			3
17	17	67	67	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	170			3
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	171			3
18	18	68	68	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	172			
18	18	70	70	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	173	de		
18	18	71	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	174	E		
18	18	68	68	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	175			
18	18	70	70	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	176	de		
18	18	71	71	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	177	E		
18	18	68	68	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	178			3
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	179			3
18	18	69	69	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	180			3
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	181			3
18	18	70	70	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	182			
18	18	71	71	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	183	ra 		
19	19	72	72	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	184	tre-		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	185	-mo-		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	186	-lar		
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	187	le		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	188	fron-		
19	19	72	72	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	189	tre-		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	190	-mo-		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	191	-lar		
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	192	le		
19	19	74	74	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	193	fron-		4
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	194			4
19	19	75	75	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	195			4
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16	1/16	1	196			4
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	197			4
19	19	72	72	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	198	mat-		
19	19	74	74	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	199	-tu-		
19	19	75	75	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	200	-ti-		5
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	201	A		
20	20	76	76	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	202	-de		
20	20	79	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	203	A		
20	20	76	76	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	204			
20	20	78	78	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	205	de		
20	20	79	79	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	206	A		
20	20	76	76	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	207			5
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	5	1	1/16	1/16	1	208			5
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	5	1	1/16	1/16	1	209			5
20	20	77	77	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	210			
20	20	78	78	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	211	na, 		
20	20	79	79	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	212	a		
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	213	A		
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	214	l'au-		6
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	215			6
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	216			6
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	217			6
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	218			6
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	219			6
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	220			6
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	221			6
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	222	l'au-		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	223	-ra,		
21	21	80	80	4.0	0	0	Chord	4/4	4	1	1	1	1	224	l'au-		
21	21	80	80	4.0	0	0	Chord	4/4	5	1	1	1	1	225	l'au-		
22	22	84	84	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	226	l'au-		
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	227	-ra		
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	228			
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	229	ra		
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	230	mat-		
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	231	-tu-		
22	22	85	85	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	232	A		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	233	l'au-		
22	22	84	84	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	234	-ra		
22	22	86	86	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	235	mat-		
22	22	87	87	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	236	-tu-		
22	22	84	84	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	237	-ra		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	238	mat-		
23	23	88	88	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	239	mat-		
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	240	-tu-		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	241	-ti-		
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	242	-ti-		7
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	243			7
23	23	89	89	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	244			
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	245	na  e		
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	246	-ra		
23	23	90	90	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	247	mat-		
23	23	91	91	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	248	-tu-		
23	23	88	88	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	249	-ti-		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	250	-na  e		
23	23	88	88	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	251	-tu-		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	252	-ti-		
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	253	-na		
24	24	93	93	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	254	e		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	255	gl'ar-		
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	256	gl'ar-		8
24	24	93	93	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	257			8
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	258			8
24	24	94	94	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	259			8
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	260			8
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	261			8
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	262			8
24	24	92	92	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	263	-ti-		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	264	-na  e		
24	24	92	92	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	265	gl'ar-		
24	24	94	94	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	266	-bor-		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	267	-sel-		9
24	24	92	92	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	268	-na  e		
24	24	94	94	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	269	gl'ar-		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	270	-bor-		
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	271			
25	25	97	97	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	272	bor-		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	273	-sel-		
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	274			
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	275	bor-		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	276	-sel-		
25	25	96	96	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	277	gl'ar-		
25	25	97	97	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	278	-bor-		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	279	-sel-		
25	25	96	96	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	280			9
25	25	97	97	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	281			9
25	25	98	98	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	282			
25	25	96	96	4.0	0	0	Chord	4/4	5	1	1	1	1	283	-sel-		
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1	1	1	284	-li		
26	26	100	100	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	285	-li		
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	286	E		
