mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	slur
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0					"<font size=""19""/><font face=""Times New Roman""/>Ecco mormorar l'onde"	
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0					"<font size=""11""/><font face=""Times New Roman""/>Claudio Monteverdi
(1567-1643)"	
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	0	Ec-		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	1	-co		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	2	mor-		
2	2	4	4	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	3			
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	4	mo-		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	5	-rar		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	6	l'on-		
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	7	Ec-		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	8	-co		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	9	mor-		
3	3	8	8	4.0	0	0	Chord	4/4	4	1	1	1	1	10	-de		
3	3	8	8	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	11	Ec-		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	12	-co		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	13	mor-		
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	14			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	15	mo-		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	16	-rar		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	17	l'on-		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	18	E		
4	4	14	14	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	19	tre-		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	20	-mo-		
4	4	15	15	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	21	-lar		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	22	le		
4	4	12	12	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	23			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	24	mo-		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	25	-rar		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	26	l'on-		
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	27	-de		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	28	E		
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	29	tre-		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	30	-mo-		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	31	-lar		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	32	le		
5	5	16	16	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	33	fron-		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	34	-de,		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	35	E		
5	5	16	16	4.0	0	0	Chord	4/4	5	1	1	1	1	36	-de.		
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	37	fron-		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	38	-de		
6	6	20	20	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	39	tre-		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	40	-mo-		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	41	-lar		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	42	le		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	43	fron-		
