mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1
1	1	0	0	4.0	0	0	Chord	4/4	4	1	1	1	1	0	Pia-
2	2	4	4	4.0	0	0	Chord	4/4	4	1	1	1	1	1	
3	3	8	8	4.0	0	0	Chord	4/4	4	1	1	1	1	2	-gn'e
4	4	12	12	4.0	0	0	Chord	4/4	4	1	1	1	1	3	
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	4	Pia-
5	5	17	17	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	5	so-
5	5	18	18	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	6	-spi-
6	6	20	20	4.0	0	0	Chord	4/4	3	1	1	1	1	7	
6	6	20	20	4.0	0	0	Chord	4/4	4	1	1	1	1	8	-ra
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	9	Pia-
7	7	24	24	4.0	0	0	Chord	4/4	3	1	1	1	1	10	-gn'e
7	7	25	25	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	11	E
7	7	26	26	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	12	quan-
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	13	-d'i
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	14	
8	8	28	28	4.0	0	0	Chord	4/4	3	1	1	1	1	15	
8	8	28	28	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	16	cal-
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	17	-di
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	18	rag-
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	19	-gi
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	20	-gn'e
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	21	so-
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	22	-spi-
9	9	32	32	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	23	fug-
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	24	
9	9	33	33	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	25	
