mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0	Las-						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1	-cia-						
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	2	Las-						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3	-cia-						
1	1	0	0	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	4	Las-						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	5	-cia-						
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7	-te						
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	8	mi						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	9	mo-						
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	10							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	11	-te						
2	2	6	6	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	12	mi						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	13	mo-						
2	2	4	4	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	14							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	15	-te						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	16	mi						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	17	mo-						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	18	-ri-						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	19	-re,						
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20	-ri-						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	21	-re,						
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	22	Las-						
3	3	8	8	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	23	-ri-						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	24	-re,						
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	25							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	26	las-						
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	27							
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28	-cia-						
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	29	-te						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	30	mi,						
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	31	Las-						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	32	-cia-						
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	33	-te						
4	4	12	12	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	34							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	35	las-						
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	36	-cia-						
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	37	-te						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	38	mi						
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	39	las-						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	40	-cia-						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41	-te						
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	42							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	43	las-						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	44	-cia-						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	45	-te						
5	5	16	16	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	46	mi,						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	47	las-						
5	5	16	16	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	48	-cia-						
5	5	17	17	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	49	-te						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	50	mi						
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	51							
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	52	mo-						
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	53	mi						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	54	mo-						
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	55	mi						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	56	mo-						
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	57	-cia-						
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	58	-te						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	59	mi						
