mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0				𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0
1	1	0	0	4.0	0	0	Chord	4/4	3	1	1	1	1	0					
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	1					
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	2					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	3					
2	2	6	6	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	4					
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	5					
2	2	4	4	4.0	0	0	Chord	4/4	4	1	1	1	1	6					
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	7					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	8					
3	3	9	9	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	9					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	10					
3	3	8	8	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	11					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	12					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	13					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	14					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	15					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	16					
3	3	11	11	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	17					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	18					
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	19					
4	4	12	12	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	20					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	21					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	22					
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	23					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	24					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	25					
4	4	12	12	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	26					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	27					
4	4	12	12	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	28					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	29					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	30					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	32					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	33					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	34					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	35					
5	5	16	16	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	36					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	37					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	38					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	39					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	40					
5	5	16	16	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	41					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	42					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	43					
5	5	16	16	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	44					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	45					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	46					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	47					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	48					
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	49					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	50					
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	51					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	52					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	53					
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56					
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	57					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	58					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	59					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	60					
6	6	20	20	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	61					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	62					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	63					
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	64					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	66					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	67					
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	68					
7	7	24	24	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	69					
7	7	25	25	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	70					
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	71					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	72					
7	7	24	24	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	73					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	74					
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	75					
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	76					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	77					
8	8	30	30	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	78					
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	79					
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	80					
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84					
8	8	28	28	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	85					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	86					
8	8	28	28	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	87					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	88					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	89					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	90					
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	91					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	92					
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	93					
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	94					
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	95					
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	96					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	97					
9	9	32	32	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	98					
9	9	34	34	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	99					
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	100					
9	9	35	35	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	101					
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	102					
9	9	32	32	4.0	0	0	Chord	4/4	5	1	1	1	1	103					
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	104					
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	105					
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	106					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	107					
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	108					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	109					
10	10	38	38	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	110					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	111					
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	112					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	113					
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	114					
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	115					
10	10	39	39	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	116					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	117					
10	10	36	36	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	118					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	119					
10	10	38	38	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	120					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	121					
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	122					
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	123					
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	124					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	125					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	126					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	127					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	128					
11	11	40	40	4.0	0	0	Chord	4/4	3	1	1	1	1	129					
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	130					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	131					
11	11	40	40	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	132					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	133					
