mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	2	2	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	0
1	1	0	0	4.0	0	0	Chord	4/4	4	1	1	1	1	1
1	1	0	0	4.0	0	0	Chord	4/4	5	1	1	1	1	2
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	3
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	4
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	5
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	6
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	7
2	2	4	4	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	8
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	9
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	10
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	11
2	2	6	6	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	12
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	13
2	2	7	7	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	14
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	15
2	2	4	4	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	16
2	2	6	6	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	17
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	18
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	19
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	20
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	21
3	3	10	10	0.75	1/2	1/2	Chord	4/4	3	1	3/16	1/8	3/2	22
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	23
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	24
3	3	8	8	0.75	0	0	Chord	4/4	4	1	3/16	1/8	3/2	25
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	26
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	27
3	3	10	10	0.75	1/2	1/2	Chord	4/4	4	1	3/16	1/8	3/2	28
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	29
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	30
3	3	8	8	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	31
3	3	10	10	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	32
4	4	12	12	0.25	0	0	Chord	4/4	3	1	1/16	1/16	1	33
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	3	1	1/16	1/16	1	34
