mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	0	O
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	1	pri-
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	2	-ma-
1	1	4	4	3.0	1	1	Chord	4/4	4	1	3/4	1/2	3/2	3	-ve-
1	1	7	7	1.0	7/4	7/4	Chord	4/4	4	1	1/4	1/4	1	4	-ra
2	2	12	12	2.0	1	1	Chord	4/4	1	1	1/2	1/2	1	5	Bel-
2	2	14	14	2.0	3/2	3/2	Chord	4/4	1	1	1/2	1/2	1	6	-la
2	2	8	8	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	7	gio-
2	2	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	8	-ven-
2	2	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	9	-tù
2	2	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	10	de
2	2	12	12	4.0	1	1	Chord	4/4	4	1	1	1	1	11	l'an-
3	3	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	12	ma-
3	3	20	20	2.0	1	1	Chord	4/4	1	1	1/2	1/2	1	13	-dre
3	3	22	22	2.0	3/2	3/2	Chord	4/4	1	1	1/2	1/2	1	14	de'
3	3	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	15	O
3	3	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	16	pri-
3	3	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	17	-ma-
3	3	20	20	3.0	1	1	Chord	4/4	2	1	3/4	1/2	3/2	18	-ve-
3	3	23	23	1.0	7/4	7/4	Chord	4/4	2	1	1/4	1/4	1	19	-ra
3	3	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	20	O
3	3	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	21	pri-
3	3	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	22	-ma-
3	3	20	20	3.0	1	1	Chord	4/4	3	1	3/4	1/2	3/2	23	-ve-
3	3	23	23	1.0	7/4	7/4	Chord	4/4	3	1	1/4	1/4	1	24	-ra
3	3	16	16	8.0	0	0	Chord	4/4	4	1	2	2	1	25	-no
4	4	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	26	fio-
4	4	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	27	
4	4	26	26	4.0	1/2	1/2	Chord	4/4	1	1	1	1	1	28	
4	4	30	30	2.0	3/2	3/2	Chord	4/4	1	1	1/2	1/2	1	29	
4	4	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30	gio-
4	4	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31	-ven-
4	4	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32	-tù
4	4	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33	de
4	4	28	28	4.0	1	1	Chord	4/4	2	1	1	1	1	34	l'an-
4	4	24	24	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	35	gio-
4	4	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	36	-ven-
4	4	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	37	-tù
4	4	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	38	de
4	4	28	28	4.0	1	1	Chord	4/4	3	1	1	1	1	39	l'an-
4	4	28	28	2.0	1	1	Chord	4/4	4	1	1/2	1/2	1	40	Bel-
4	4	30	30	2.0	3/2	3/2	Chord	4/4	4	1	1/2	1/2	1	41	-la
5	5	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	42	-ri
5	5	36	36	2.0	1	1	Chord	4/4	1	1	1/2	1/2	1	43	D'her-
5	5	38	38	1.0	3/2	3/2	Chord	4/4	1	1	1/4	1/4	1	44	-be
5	5	39	39	1.0	7/4	7/4	Chord	4/4	1	1	1/4	1/4	1	45	no-
5	5	32	32	8.0	0	0	Chord	4/4	2	1	2	2	1	46	-no
5	5	32	32	8.0	0	0	Chord	4/4	3	1	2	2	1	47	-no
5	5	32	32	4.0	0	0	Chord	4/4	4	1	1	1	1	48	ma-
5	5	36	36	2.0	1	1	Chord	4/4	4	1	1/2	1/2	1	49	-dre
5	5	38	38	2.0	3/2	3/2	Chord	4/4	4	1	1/2	1/2	1	50	de'
6	6	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	51	-vel-
6	6	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	52	-le_e
6	6	44	44	1.0	1	1	Chord	4/4	1	1	1/4	1/4	1	53	di
6	6	45	45	1.0	5/4	5/4	Chord	4/4	1	1	1/4	1/4	1	54	no-
6	6	46	46	1.0	3/2	3/2	Chord	4/4	1	1	1/4	1/4	1	55	-vel-
6	6	47	47	1.0	7/4	7/4	Chord	4/4	1	1	1/4	1/4	1	56	-li_a-
6	6	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	57	Bel-
6	6	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	58	-la
6	6	44	44	4.0	1	1	Chord	4/4	3	1	1	1	1	59	ma-
6	6	40	40	4.0	0	0	Chord	4/4	4	1	1	1	1	60	fio-
6	6	44	44	4.0	1	1	Chord	4/4	4	1	1	1	1	61	-ri
7	7	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	62	-mo-
7	7	52	52	4.0	1	1	Chord	4/4	1	1	1	1	1	63	-ri
7	7	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	64	O
7	7	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	65	pri-
7	7	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	66	-ma-
7	7	52	52	3.0	1	1	Chord	4/4	2	1	3/4	1/2	3/2	67	-ve-
7	7	55	55	1.0	7/4	7/4	Chord	4/4	2	1	1/4	1/4	1	68	-ra
