mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	125	se							
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	126	il							
10	9	33	33	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	127	vol-							
10	9	34	34	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	128	-to							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	129	scor-							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	130	-gea							
10	9	36	36	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	131	se							
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	132	il							
10	9	33	33	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	133	vol-							
10	9	34	34	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	134	-to							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	135	scor-							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	136	-gea							
10	9	36	36	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	137	se							
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	138	il							
10	9	33	33	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	139								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	140								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	141								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	142								
10	9	36	36	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	143								
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	144								
11	10	37	37	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	145	suo							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	146	do-							
11	10	37	37	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	147	suo							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	148	do-							
11	10	37	37	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	149	suo							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	150	do-							
11	10	37	37	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	151								
11	10	40	40	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	152								
12	11	41	41	4.0	0	0	Chord	4/4	2	1	1	1	1	153	-lor							
12	11	41	41	4.0	0	0	Chord	4/4	3	1	1	1	1	154	-lor							
12	11	41	41	4.0	0	0	Chord	4/4	4	1	1	1	1	155	-lor							
12	11	41	41	4.0	0	0	Chord	4/4	5	1	1	1	1	156								
13	12	45	45	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	157	spes-							
13	12	91/2	91/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	158	-so							
13	12	183/4	183/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	159	gli							
13	12	46	46	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	160	ven-							
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	161	-ia							
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	162	sciol-							
13	12	48	48	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	163	-to							
13	12	45	45	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	164	spes-							
13	12	91/2	91/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	165	-so							
13	12	183/4	183/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	166	gli							
13	12	46	46	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	167	ven-							
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	168	-ia							
13	12	47	47	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	169	sciol-							
13	12	48	48	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	170	-to							
13	12	45	45	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	171	spes-							
13	12	91/2	91/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	172	-so							
13	12	183/4	183/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	173	gli							
13	12	46	46	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	174	ven-							
13	12	187/4	187/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	175	-ia							
13	12	47	47	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	176	sciol-							
13	12	48	48	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	177	-to							
13	12	45	45	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	178								
13	12	46	46	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	179								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	180								
13	12	48	48	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	181								
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	182	un							
14	13	51	51	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	183	gran							
14	13	50	50	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	184	un							
14	13	51	51	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	185	gran							
14	13	50	50	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	186	un							
14	13	51	51	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	187	gran							
14	13	50	50	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	188								
14	13	51	51	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	189								
15	14	53	53	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	190								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	191	so-							
15	14	53	53	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	192								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	193	so-							
15	14	53	53	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	194								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	195	so-							
15	14	53	53	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	196								
15	14	56	56	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	197								
16	15	57	57	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	198	-spir							
16	15	60	60	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	199	dal							
16	15	57	57	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	200	-spir							
16	15	60	60	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	201	dal							
16	15	57	57	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	202	-spir							
16	15	60	60	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	203	dal							
16	15	57	57	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	204								
16	15	60	60	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	205								
17	16	61	61	4.0	0	0	Chord	4/4	2	1	1	1	1	206	cor							
17	16	61	61	4.0	0	0	Chord	4/4	3	1	1	1	1	207	cor							
17	16	61	61	4.0	0	0	Chord	4/4	4	1	1	1	1	208	cor							
17	16	61	61	4.0	0	0	Chord	4/4	5	1	1	1	1	209								
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	210	si							
18	17	68	68	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	211	cal-							
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	212	-pe-							
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	213	si							
18	17	67	67	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	214	cal-							
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	215	-pe-							
18	17	68	68	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	216	-stan-							
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	217	-do							
18	17	131/2	131/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	218	si							
18	17	66	66	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	219	cal-							
18	17	133/2	133/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	220	-pe-							
18	17	67	67	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	221	-stan-							
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	222	-do							
18	17	68	68	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	223	fio-							
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	224	-ri							
18	17	65	65	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	225								
18	17	66	66	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	226								
18	17	67	67	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	227								
18	17	68	68	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	228								
19	18	69	69	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	229	-stan-							
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	230	-do							
19	18	70	70	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	231	fio-							
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	232	-ri							
19	18	143/2	143/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	233	si							
19	18	72	72	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	234	cal-							
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	235	-pe-							
19	18	69	69	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	236	fio-							
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	237	-ri							
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	238	er-							
19	18	71	71	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	239	-ra-							
19	18	143/2	143/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	240	-va_hor							
19	18	72	72	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	241	qua							
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	242	hor							
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	243	er-							
19	18	70	70	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	244	-ra-							
19	18	141/2	141/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	245	-va_hor							
19	18	71	71	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	246	qua							
19	18	143/2	143/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	247	hor							
19	18	72	72	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	248	là							
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	249	si							
19	18	69	69	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	250								
19	18	70	70	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	251								
19	18	71	71	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	252								
19	18	72	72	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	253								
20	19	73	73	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	254	-stan-							
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	255	-do							
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	256	si							
20	19	75	75	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	257	cal-							
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	258	-pe-							
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	259	-stan-							
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	260	-do							
20	19	73	73	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	261	là							
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	262	si							
20	19	74	74	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	263	cal-							
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	264	-pe-							
20	19	75	75	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	265	-stan-							
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	266	-do							
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	267	si							
20	19	73	73	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	268	cal-							
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	269	-pe-							
20	19	74	74	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	270	-stan-							
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	271	-do							
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	272	si							
20	19	76	76	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	273	cal-							
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	274	-pe-							
20	19	73	73	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	275								
20	19	74	74	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	276								
20	19	75	75	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	277								
20	19	76	76	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	278								
21	20	77	77	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	279	fio-							
21	20	155/2	155/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	280	-ri							
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	281	er-							
21	20	79	79	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	282	-ra-							
