mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	0	Non							
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	1	ha-							
1	0	0	0	0.5	0	3/4	Chord	4/4	3	1	1/8	1/8	1	2	Non							
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	3	1	1/8	1/8	1	3	ha-							
1	0	0	0	0.5	0	3/4	Chord	4/4	4	1	1/8	1/8	1	4	Non							
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	1	1/8	1/8	1	5	ha-							
1	0	0	0	0.5	0	3/4	Chord	4/4	5	1	1/8	1/8	1	6								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	5	1	1/8	1/8	1	7								
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	8	-vea							
2	1	2	2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	9	Fe-							
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	10	-bo_an-							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11	-co-							
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	12	-ra							
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	13	re-							
2	1	1	1	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	14	-vea							
2	1	2	2	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	15	Fe-							
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	16	-bo_an-							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	17	-co-							
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	18	-ra							
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	19	re-							
2	1	1	1	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	20	-vea							
2	1	2	2	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	21	Fe-							
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	22	-bo_an-							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	23	-co-							
2	1	4	4	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	24	-ra							
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	25	re-							
2	1	1	1	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	26								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	27								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	28								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	29								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	30								
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	31	-ca-							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	32	-to_al							
3	2	7	7	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	33	mon-							
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	34	-do_il							
3	2	5	5	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	35	-ca-							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	36	-to_al							
3	2	7	7	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	37	mon-							
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	38	-do_il							
3	2	5	5	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	39	-ca-							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	40	-to_al							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	41	mon-							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	42	-do_il							
3	2	5	5	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	43								
3	2	6	6	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	44								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	45								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	46								
4	3	9	9	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47	di							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	48	ch'u-							
4	3	9	9	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	49	di							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	50	ch'u-							
4	3	9	9	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	51	di							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	52	ch'u-							
4	3	9	9	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	53								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	54								
5	4	13	13	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	55	-na							
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	56	don-							
5	4	14	14	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	57	-zel-							
5	4	59/4	59/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	58	-la							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	59	fuo-							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	60	-ra							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	61	del							
5	4	13	13	0.75	0	0	Chord	4/4	3	1	3/16	1/8	3/2	62	-na							
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	63	don-							
5	4	14	14	0.75	1/4	1/4	Chord	4/4	3	1	3/16	1/8	3/2	64	-zel-							
5	4	59/4	59/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	65	-la							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	66	fuo-							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	67	-ra							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	68	del							
5	4	13	13	0.75	0	0	Chord	4/4	4	1	3/16	1/8	3/2	69	-na							
5	4	55/4	55/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	70	don-							
5	4	14	14	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	71	-zel-							
5	4	59/4	59/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	72	-la							
5	4	15	15	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	73	fuo-							
5	4	16	16	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	74	-ra							
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	75	del							
5	4	13	13	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	76								
5	4	14	14	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	77								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	78								
5	4	16	16	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	79								
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	80								
6	5	17	17	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	81	pro-							
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	82	-prio_al-							
6	5	17	17	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	83	pro-							
6	5	19	19	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	84	-prio_al-							
6	5	17	17	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	85	pro-							
6	5	19	19	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	86	-prio_al-							
6	5	17	17	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	87								
6	5	19	19	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	88								
7	6	21	21	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	89	-ber-							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	90	-go_u-							
7	6	21	21	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	91	-ber-							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	92	-go_u-							
7	6	21	21	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	93	-ber-							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	94	-go_u-							
7	6	21	21	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	95								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	96								
8	7	25	25	4.0	0	0	Chord	4/4	2	1	1	1	1	97	-scì							
8	7	25	25	4.0	0	0	Chord	4/4	3	1	1	1	1	98	-scì							
8	7	25	25	4.0	0	0	Chord	4/4	4	1	1	1	1	99	-scì							
8	7	25	25	4.0	0	0	Chord	4/4	5	1	1	1	1	100								
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	101	sul							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	102	pal-							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	103	-li-							
9	8	31	31	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	104	-det-							
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	105	-to							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	106	sul							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	107	pal-							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	108	-li-							
9	8	31	31	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	109	-det-							
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	110	-to							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	111	sul							
9	8	30	30	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	112	pal-							
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	113	-li-							
9	8	31	31	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	114	-det-							
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	115	-to							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	116								
9	8	30	30	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	117								
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	118								
9	8	31	31	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	119								
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	120								
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	121	vol-							
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	122	-to							
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	123	scor-							
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	124	-gea							
