mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	slur	TextLine
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	Sit		
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	91	-da-		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	92	-te		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	93	no-		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	94	-men		
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	95	-mum.		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	96	Lau-		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	97	-da-		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	98	-te		
9	9	32	32	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	99	-ni.		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	100	Sit		
9	9	32	32	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	101	Do-		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	102	-mi-		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	103	-ni		
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	104			
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	105	no-		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106	-men		
10	10	36	36	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	107	Do-		
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	108	-mi-		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	109	-ni		
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	110	no-		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	111	-men		
10	10	38	38	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	112	Do-		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	113	-mi-		
10	10	36	36	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	114	no-		
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	115	-men		
10	10	38	38	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	116	Do-		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	117	-mi-		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	118	Sit		
10	10	38	38	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	119	no-		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	120	-men		
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	121	Do-		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	122	-mi-		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	-ni		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	sit		
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	125	sit		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	126	no-		
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	127	-ni		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	128	sit		
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	129	-ni		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	130	sit		
11	11	40	40	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	131	Do-		
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	132	-mi-		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	133	-ni		
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	134	no-		
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	135	-men		
12	12	46	46	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	136	Do-		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	137	-mi-		
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	138			
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	139	-men		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	140	Do-		
12	12	44	44	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	141	no-		
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	142	-men		
12	12	46	46	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	143	Do-		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	144	-mi-		
12	12	44	44	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	145			
12	12	45	45	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	146	no-		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	147	-men		
12	12	44	44	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	148	sit		
12	12	46	46	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	149	no-		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	150	-men		
13	13	48	48	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	151	-ni	4	
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	152		4	
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	153			
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	154	Be-		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	155			
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	156	-mi-		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	157	-ni		
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	158	-ni		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	159	Be-		
13	13	48	48	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	160	Do-		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	161	-mi-		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	162	-ni		
13	13	48	48	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	163	Do-		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	164	-mi-		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	165	-ni		
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	166			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	167	-ne-		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	168	-dic-		
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	169	Be-		
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	170	-ne-		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	171	-dic-		
14	14	52	52	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	172	-ne		
14	14	53	53	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	173	dic-	5	
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	174			
14	14	52	52	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	175	Be-		
14	14	53	53	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	176	-ne-		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	177	-dic-	6	
14	14	55	55	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	178			
14	14	52	52	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	179	Be-		
14	14	53	53	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	180	-ne-		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	181	-dic		
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	182	-­tum		
15	15	57	57	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	183	ex		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	184	hoc		
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	185	-­tum		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	186	ex		
15	15	56	56	4.0	0	0	Chord	4/4	3	1	1	1	1	187	-­tum		
15	15	56	56	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	188	-­tum		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	189	ex		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	190	hoc		
15	15	56	56	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	191	­tum		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	192	ex		
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	193			
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	194	nunc		
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	195	et		
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	196	hoc		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	197	nunc		
16	16	60	60	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	198	ex		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	199	hoc		
16	16	60	60	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	200	nunc		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	201	et		
16	16	60	60	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	202	hoc		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	203	nunc		
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	204			
17	17	65	65	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	205	us-	7	
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	206		7	
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	207		7	
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	208	et		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	209	us-		
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	210	nunc		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	211	et		
17	17	64	64	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	212	us-	8	
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	213		8	
17	17	66	66	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	214		8	
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	215		8	
17	17	64	64	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	216	et		
17	17	66	66	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	217	us-	9	
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	218		9	
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	219		7	
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	220		7	
18	18	69	69	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	221			
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	222	-que	10	
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	223			
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	224	-que		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	225	in		
18	18	68	68	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	226	us-	11	
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	227		11	
18	18	70	70	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	228		11	
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	229		11	
18	18	68	68	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	230			
18	18	70	70	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	231	-que	12	
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	232		12	
18	18	68	68	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	233		9	
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	234		9	
18	18	70	70	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	235			
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	236		10	
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	237		10	
19	19	73	73	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	238			
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	239	in		
19	19	72	72	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	240	sæ-	13	
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	241		13	
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	242		13	
19	19	72	72	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	243			
19	19	74	74	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	244	-que	14	
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	245		14	
19	19	72	72	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	246		12	
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	247		12	
19	19	74	74	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	248		12	
19	19	72	72	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	249	-que	15	
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	250		15	
19	19	74	74	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	251		15	
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	252		15	
20	20	76	76	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	253	sæ-	16	
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	254		16	
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	255		16	
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	256	-­-	13	
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	257		13	
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	258		13	
20	20	76	76	0.0	0	0	Spanner	4/4	3	1	0						0
20	20	76	76	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	259			0
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	3	1	0						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	260	in		
20	20	76	76	0.0	0	0	Spanner	4/4	4	1	0						1
20	20	76	76	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	261			1
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	4	1	0						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	262	in		
20	20	76	76	0.0	0	0	Spanner	4/4	5	1	0						2
20	20	76	76	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	263			2
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	5	1	0						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	264	in		
21	21	80	80	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	265			
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	266	-cu-		
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	267			
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	268	-cu-		
21	21	80	80	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	269	sæ-		
21	21	83	83	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	270	-cu-		
21	21	80	80	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	271	sæ-		
21	21	83	83	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	272	-cu-		
21	21	80	80	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	273	sæ-		
21	21	83	83	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	274	-cu-		
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1	1	1	275	-lum.		
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1	1	1	276	-lum.		
22	22	84	84	4.0	0	0	Chord	4/4	3	1	1	1	1	277	-lum.		
22	22	84	84	4.0	0	0	Chord	4/4	4	1	1	1	1	278	-lum.		
22	22	84	84	4.0	0	0	Chord	4/4	5	1	1	1	1	279	-lum.		
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	280	A		
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	281	so-		
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	282	-lis		
24	24	92	92	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	283	or-		
