mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	slur	TextLine
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0	Lau-		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1	-da-		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2	-te		
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	3	pu-		
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	4	-e-		
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	5	-ri		
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	6	Do-		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	7	-mi-		
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8	Lau-		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	9	-da-		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	10	-te		
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	11	-num.		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	12	Lau-		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	13	-da-		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	14	-te		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	15	pu-		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	16	-e-		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	17	-ri		
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	18	Do-		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19	-mi-		
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20	no-		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21	-men		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	22	Do-	0	
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	23		0	
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24	-num.		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25	Lau-		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	26	-da-		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	27	-te		
4	4	12	12	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	28	Lau-		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	29	-da-		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	30	-te		
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	31	-­-	0	
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	32		0	
5	5	17	17	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	33			
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	34	-mi-		
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	35	no-		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	36	-men		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	37	Do-	1	
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	38		1	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	39		1	
5	5	16	16	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	40	pu-		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	41	-e-		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	42	-ri		
5	5	18	18	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	43	Do-		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	44	-mi-		
5	5	16	16	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	45	Lau-		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	46	-da-		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	47	-te		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	48	-ni		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	49	Do-	2	
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	50		1	
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	51		1	
6	6	22	22	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	52			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	53	-mi-		
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	54	-num.		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	55	Lau-		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	56	-da-		
6	6	23	23	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	57	-te		
6	6	20	20	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	58	pu-		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	59	-e-		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	60	-ri		
6	6	22	22	1.5	1/2	1/2	Chord	4/4	5	1	3/8	1/4	3/2	61	Do-		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	62	-mi-		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	63			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	64	-mi-		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	65	-ni.		
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	66	Lau-		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	67	-da-		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	68	-te		
7	7	24	24	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	69	no-		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	70	-men		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	71	Do-	3	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	72		3	
7	7	24	24	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	73	-num.		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	74	Lau-		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	75	-da-		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	76	-te		
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	77	-ni.		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	78	Lau-		
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	79	pu-		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	80	-e-		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	81	-ri		
8	8	30	30	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	82	Do-		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	83	-mi-		
8	8	28	28	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	84		3	
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	85		3	
8	8	29	29	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	86			
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	87	-mi-		
8	8	28	28	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	88	no-		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	89	-men		
