mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
10	10	108	6.0	0	0	Chord	3/1	1	1	3/2			1	3/2	69	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	1	1	1/2			1/2	1	70	li-			
10	10	116	4.0	2	2	Chord	3/1	1	1	1			1	1	71	de			
10	10	108	6.0	0	0	Chord	3/1	2	1	3/2			1	3/2	72	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	2	1	1/2			1/2	1	73	li-			
10	10	116	4.0	2	2	Chord	3/1	2	1	1			1	1	74	de			
10	10	108	6.0	0	0	Chord	3/1	3	1	3/2			1	3/2	75	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	3	1	1/2			1/2	1	76	li-			
10	10	116	4.0	2	2	Chord	3/1	3	1	1			1	1	77	de			
10	10	108	6.0	0	0	Chord	3/1	4	1	3/2			1	3/2	78				
10	10	114	2.0	3/2	3/2	Chord	3/1	4	1	1/2			1/2	1	79				
10	10	116	4.0	2	2	Chord	3/1	4	1	1			1	1	80				
11	11	120	4.0	0	0	Chord	3/1	1	1	1			1	1	81	per-			
11	11	124	4.0	1	1	Chord	3/1	1	1	1			1	1	82	chè			
11	11	128	4.0	2	2	Chord	3/1	1	1	1			1	1	83	t'en			
11	11	120	4.0	0	0	Chord	3/1	2	1	1			1	1	84	per-			
11	11	124	4.0	1	1	Chord	3/1	2	1	1			1	1	85	chè			
11	11	128	4.0	2	2	Chord	3/1	2	1	1			1	1	86	t'en			
11	11	120	4.0	0	0	Chord	3/1	3	1	1			1	1	87	per-			
11	11	124	4.0	1	1	Chord	3/1	3	1	1			1	1	88	chè			
11	11	128	4.0	2	2	Chord	3/1	3	1	1			1	1	89	t'en			
11	11	120	4.0	0	0	Chord	3/1	4	1	1			1	1	90				
11	11	124	4.0	1	1	Chord	3/1	4	1	1			1	1	91				
11	11	128	4.0	2	2	Chord	3/1	4	1	1			1	1	92				
12	12	132	4.0	0	0	Chord	3/1	1	1	1			1	1	93	fug-			
12	12	136	4.0	1	1	Chord	3/1	1	1	1			1	1	94	gi			
12	12	132	4.0	0	0	Chord	3/1	2	1	1			1	1	95	fug-			
12	12	136	4.0	1	1	Chord	3/1	2	1	1			1	1	96	gi			
12	12	132	4.0	0	0	Chord	3/1	3	1	1			1	1	97	fug-			
12	12	136	4.0	1	1	Chord	3/1	3	1	1			1	1	98	gi			
12	12	132	4.0	0	0	Chord	3/1	4	1	1			1	1	99				
12	12	136	4.0	1	1	Chord	3/1	4	1	1			1	1	100				
13	13	144	4.0	0	0	Chord	3/1	1	1	1			1	1	101	per-			
13	13	148	4.0	1	1	Chord	3/1	1	1	1			1	1	102	chè			
13	13	152	4.0	2	2	Chord	3/1	1	1	1			1	1	103	t'en			
13	13	144	4.0	0	0	Chord	3/1	2	1	1			1	1	104	per-			
13	13	148	4.0	1	1	Chord	3/1	2	1	1			1	1	105	chè			
13	13	152	4.0	2	2	Chord	3/1	2	1	1			1	1	106	t'en			
13	13	144	4.0	0	0	Chord	3/1	3	1	1			1	1	107	per-			
13	13	148	4.0	1	1	Chord	3/1	3	1	1			1	1	108	chè			
13	13	152	4.0	2	2	Chord	3/1	3	1	1			1	1	109	t'en			
13	13	144	4.0	0	0	Chord	3/1	4	1	1			1	1	110				
13	13	148	4.0	1	1	Chord	3/1	4	1	1			1	1	111				
13	13	152	4.0	2	2	Chord	3/1	4	1	1			1	1	112				
14	14	156	4.0	0	0	Chord	3/1	1	1	1			1	1	113	fug-			
14	14	160	4.0	1	1	Chord	3/1	1	1	1			1	1	114	gi			
14	14	156	4.0	0	0	Chord	3/1	2	1	1			1	1	115	fug-			
14	14	160	4.0	1	1	Chord	3/1	2	1	1			1	1	116	gi			
14	14	156	4.0	0	0	Chord	3/1	3	1	1			1	1	117	fug-			
14	14	160	4.0	1	1	Chord	3/1	3	1	1			1	1	118	gi			
14	14	156	4.0	0	0	Chord	3/1	4	1	1			1	1	119				
14	14	160	4.0	1	1	Chord	3/1	4	1	1			1	1	120				
15	15	168	4.0	0	0	Chord	3/1	3	1	1			1	1	121	per-			
15	15	172	4.0	1	1	Chord	3/1	3	1	1			1	1	122	chè			
15	15	176	4.0	2	2	Chord	3/1	3	1	1			1	1	123	t'en			
15	15	168	4.0	0	0	Chord	3/1	4	1	1			1	1	124				
15	15	172	4.0	1	1	Chord	3/1	4	1	1			1	1	125				
15	15	176	4.0	2	2	Chord	3/1	4	1	1			1	1	126				
16	16	180	4.0	0	0	Chord	3/1	2	1	1			1	1	127	per-			
