mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
37	37	328	4.0	0	0	Chord	3/1	1	1	1			1	1	328	bel-			
37	37	332	2.0	1	1	Chord	3/1	1	1	1/2			1/2	1	329	va			
37	37	334	4.0	3/2	3/2	Chord	3/1	1	1	1			1	1	330	non			
37	37	338	2.0	5/2	5/2	Chord	3/1	1	1	1/2			1/2	1	331	son			
37	37	328	4.0	0	0	Chord	3/1	2	1	1			1	1	332	io			
37	37	328	3.0	0	0	Chord	3/1	3	1	3/4			1/2	3/2	333	squal-			
37	37	331	1.0	3/4	3/4	Chord	3/1	3	1	1/4			1/4	1	334	li-			
37	37	332	4.0	1	1	Chord	3/1	3	1	1			1	1	335	do			
37	37	336	4.0	2	2	Chord	3/1	3	1	1			1	1	336	già			
37	37	328	3.0	0	0	Chord	3/1	4	1	3/4			1/2	3/2	337				
37	37	331	1.0	3/4	3/4	Chord	3/1	4	1	1/4			1/4	1	338				
37	37	332	4.0	1	1	Chord	3/1	4	1	1			1	1	339				
37	37	336	4.0	2	2	Chord	3/1	4	1	1			1	1	340				
38	38	340	4.0	0	0	Chord	3/1	1	1	1			1	1	341	io			
38	38	344	2.0	1	1	Chord	3/1	1	1	1/2			1/2	1	342	nè			
38	38	346	4.0	3/2	3/2	Chord	3/1	1	1	1			1	1	343	ser-			
38	38	350	2.0	5/2	5/2	Chord	3/1	1	1	1/2			1/2	1	344	pe			
